,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0014863014221191406,0.0002303711629815383,0.0037078857421875,0.0006327360480959627,gini,9,1,5,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 1), ('min_samples_split', 5)])",0.9235222039538343,0.8855746033127342,0.909047064031515,0.9060479570993611,0.01563651880261878,3,0.999999999999999,0.9840251833790168,0.9851628629211304,0.9897293487667155,0.007277283662280791,2
1,0.0016211668650309246,0.000506778579515922,0.0038204193115234375,0.0008718177128329645,gini,9,2,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 3)])",0.9170006480216769,0.8727454005380686,0.9205230665819608,0.9034230383805687,0.021739977856860195,5,0.9851503477063974,0.9849196521524417,0.9851628629211304,0.9850776209266566,0.00011181758320333136,4
2,0.0015106995900472004,0.00012266187290984392,0.0032040278116861978,0.0004573078971637878,entropy,5,5,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 5)])",0.8663127659723476,0.7721488860799832,0.9206682528494781,0.8530433016339364,0.061354486873546096,10,0.9416940206267179,0.922025196925722,0.9369466321853878,0.9335552832459425,0.008380198572310055,10
3,0.0013616085052490234,0.00015273397625082118,0.0031981468200683594,0.0005337698763036758,gini,5,3,5,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 5)])",0.9206379034980438,0.8919430842263311,0.8695217676091724,0.8940342517778491,0.020920397914456296,8,0.9638669904199392,0.962513984325621,0.9696576831227205,0.9653462192894269,0.003098300250370055,7
4,0.0012391408284505208,2.459476366576843e-05,0.0028635660807291665,8.161796914999141e-05,entropy,5,1,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 1), ('min_samples_split', 4)])",0.9214736471359247,0.8965967837472547,0.8944245930073552,0.9041650079635115,0.012271140823173236,4,0.9915087987411462,0.9828334610675217,0.9862714920384031,0.9868712506156904,0.003566992542850282,3
5,0.0018746058146158855,0.0005601630971706876,0.003716707229614258,0.00042775402785331007,gini,7,3,5,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 5)])",0.8960251031723268,0.8904244883158137,0.8468532800337905,0.8777676238406436,0.02197899317452901,9,0.9640558789147862,0.962513984325621,0.9696576831227205,0.9654091821210425,0.003069384335874558,6
6,0.001369158426920573,0.00012974941673910543,0.0034998257954915366,0.0006338657741408225,entropy,7,3,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 5)])",0.896338621030476,0.8979709415762716,0.9119515329121157,0.9020870318396211,0.007007015705609738,6,0.9590519783223619,0.9625693839276875,0.9563404458704431,0.959320602706831,0.002550037467070573,8
7,0.0014220873514811199,4.07620628179227e-05,0.0032138824462890625,0.00022892289323254086,entropy,7,1,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 3)])",0.9491305242755994,0.8979709415762716,0.9353989434945019,0.927500136448791,0.021619730033025718,1,0.999999999999999,0.9923745137692197,0.999999999999999,0.9974581712564059,0.003594688682419126,1
8,0.001291036605834961,0.00021639713987105135,0.003011465072631836,7.844587203309906e-05,entropy,3,2,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 3), ('min_samples_leaf', 2), ('min_samples_split', 2)])",0.9414673580246296,0.9179627703169869,0.9084122547152477,0.9226141276856215,0.013889715805264937,2,0.9676935567479994,0.9672721452739406,0.9829734476055555,0.9726463832091651,0.007304363590485343,5
9,0.0021179517110188804,0.0009665017980890873,0.0045735836029052734,0.0012398211917442478,entropy,5,3,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 3)])",0.896338621030476,0.8963866134253735,0.9119515329121157,0.9015589224559885,0.007348711446555194,7,0.9590519783223619,0.9623626976884576,0.9563404458704431,0.9592517072937542,0.0024626270507197364,9
