,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_thread_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.14563528696695963,0.009230639507648792,0.0019195079803466797,9.577722719373053e-05,64,7,50,5,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 50), ('l2_leaf_reg', 5), ('learning_rate', 1.0), ('thread_count', -1)])",-0.02864014697131938,-0.14944932026099586,-0.1242863456118601,-0.10079193761472512,0.05204295977418175,5,-0.0030206729281891348,-0.0017483949637497776,-0.0016729919713107657,-0.0021473532877498928,0.0006182970152496209,4
1,0.25358279546101886,0.0016505077756071257,0.0019408861796061199,4.154066978317386e-05,64,7,100,3,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 3), ('learning_rate', 0.5), ('thread_count', -1)])",-0.03349414723649769,-0.12896753631548405,-0.09530970905600139,-0.08592379753599437,0.03953785955134587,4,-0.002772713107432745,-0.0021861273158795096,-0.002026650397713879,-0.0023284969403420445,0.00032078468810659347,5
2,0.7759269873301188,0.025390072102791702,0.002019008000691732,2.318292926688754e-05,64,9,100,5,0.1,-1,"OrderedDict([('border_count', 64), ('depth', 9), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 0.1), ('thread_count', -1)])",-0.043181614126677384,-0.09827105860115791,-0.08705982272940527,-0.07617083181908019,0.023771682248851955,1,-0.009112332447704511,-0.004865372354618897,-0.006085756325848202,-0.006687820376057203,0.0017853157234283973,10
3,0.05481640497843424,0.0006839753907431522,0.0017422040303548176,2.065163082609249e-05,128,5,50,1,1.0,-1,"OrderedDict([('border_count', 128), ('depth', 5), ('iterations', 50), ('l2_leaf_reg', 1), ('learning_rate', 1.0), ('thread_count', -1)])",-0.04352669566244435,-0.1533014204175032,-0.11272245005138372,-0.10318352204377708,0.0453200905369275,7,-0.0011969809063920305,-0.0014801268229389661,-0.0014288999543640639,-0.0013686692278983535,0.0001231901181703616,1
4,0.8260138034820557,0.0312996292032906,0.0023407936096191406,0.00045725414111518587,128,9,100,9,0.5,-1,"OrderedDict([('border_count', 128), ('depth', 9), ('iterations', 100), ('l2_leaf_reg', 9), ('learning_rate', 0.5), ('thread_count', -1)])",-0.03743098478625862,-0.12471966447117001,-0.07985628170741924,-0.08066897698828263,0.0356400874998778,2,-0.0055103538915474825,-0.002824754178240789,-0.003133875001868752,-0.0038229943572190075,0.0011997987524211475,9
5,0.5142776171366373,0.023360262985131483,0.0022281010945638022,4.6635199554471434e-05,32,7,200,3,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 7), ('iterations', 200), ('l2_leaf_reg', 3), ('learning_rate', 0.5), ('thread_count', -1)])",-0.06318572408894362,-0.16451922863841037,-0.0915288447991574,-0.10641126584217046,0.04268672415123417,9,-0.0032851125283602494,-0.0014589126900393236,-0.0024248319412987517,-0.002389619053232775,0.0007459586328947489,6
6,0.8073182106018066,0.03037837411048715,0.0020668506622314453,8.058900656121007e-05,64,9,100,5,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 9), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 1.0), ('thread_count', -1)])",-0.05558801911150226,-0.17231645908820575,-0.07640135954785218,-0.10143527924918673,0.05083571596530906,6,-0.002557839948486411,-0.001453405741711074,-0.001701239123019189,-0.001904161604405558,0.000473164438902494,2
7,0.25352732340494794,0.007709618072238444,0.0019181569417317708,3.673262742526827e-05,64,7,100,3,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 3), ('learning_rate', 1.0), ('thread_count', -1)])",-0.04702645639305653,-0.1568477303753566,-0.11917078447961706,-0.10768165708267673,0.045564445869055975,10,-0.0026761933340180444,-0.0017312483941089468,-0.0014819331652339257,-0.001963124964453639,0.0005143859741427512,3
8,0.5091133912404379,0.0204427669444957,0.0023215611775716147,0.00014999823839117343,64,7,200,3,0.1,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 200), ('l2_leaf_reg', 3), ('learning_rate', 0.1), ('thread_count', -1)])",-0.04775909682309898,-0.11804195622500913,-0.08984893813014252,-0.08521666372608354,0.02887921462509028,3,-0.0032779277343631596,-0.002591539062070217,-0.0028003746123748787,-0.0028899471362694184,0.00028728589725294623,7
9,0.20512747764587402,0.033755044536595155,0.002094904581705729,2.0455270477287238e-05,32,5,200,9,1.0,-1,"OrderedDict([('border_count', 32), ('depth', 5), ('iterations', 200), ('l2_leaf_reg', 9), ('learning_rate', 1.0), ('thread_count', -1)])",-0.08229907980400587,-0.1352025986483025,-0.09878886288341401,-0.10543018044524081,0.022102426725663465,8,-0.004549034831386569,-0.0019998948256603967,-0.0023483921605435302,-0.0029657739391968315,0.0011285385498239879,8
