model,output,metric,value
XGB_DART,binaryClass,train_time,28888040096.0
XGB_DART,binaryClass,predict_time,4078541.0
XGB_DART,binaryClass,logloss,0.022800151931251886
XGB_DART,binaryClass,balanced_accuracy,0.997191011235955
XGB_GBLINEAR,binaryClass,accuracy,
XGB_GBLINEAR,binaryClass,precision,
XGB_GBLINEAR,binaryClass,recall,
XGB_GBLINEAR,binaryClass,f1,
XGB_GBLINEAR,binaryClass,train_time,
XGB_GBLINEAR,binaryClass,predict_time,
XGB_GBLINEAR,binaryClass,logloss,
XGB_GBLINEAR,binaryClass,balanced_accuracy,
ExtraTree,binaryClass,accuracy,
ExtraTree,binaryClass,precision,
ExtraTree,binaryClass,recall,
ExtraTree,binaryClass,f1,
ExtraTree,binaryClass,train_time,
ExtraTree,binaryClass,predict_time,
ExtraTree,binaryClass,logloss,
ExtraTree,binaryClass,balanced_accuracy,
QDA,binaryClass,accuracy,
QDA,binaryClass,precision,
QDA,binaryClass,recall,
QDA,binaryClass,f1,
QDA,binaryClass,train_time,
QDA,binaryClass,predict_time,
QDA,binaryClass,logloss,
QDA,binaryClass,balanced_accuracy,
