Trial #,SVC - VHD - accuracy,SVC - Cath - accuracy,SVC - VHD - balanced accuracy,SVC - Cath - balanced accuracy,SVC - VHD - f1 score,SVC - Cath - f1 score,SVC - VHD - jaccard score,SVC - Cath - jaccard score,GradientBoosting - VHD - accuracy,GradientBoosting - Cath - accuracy,GradientBoosting - VHD - balanced accuracy,GradientBoosting - Cath - balanced accuracy,GradientBoosting - VHD - f1 score,GradientBoosting - Cath - f1 score,GradientBoosting - VHD - jaccard score,GradientBoosting - Cath - jaccard score,GaussianNB - VHD - accuracy,GaussianNB - Cath - accuracy,GaussianNB - VHD - balanced accuracy,GaussianNB - Cath - balanced accuracy,GaussianNB - VHD - f1 score,GaussianNB - Cath - f1 score,GaussianNB - VHD - jaccard score,GaussianNB - Cath - jaccard score,DecisionTree - VHD - accuracy,DecisionTree - Cath - accuracy,DecisionTree - VHD - balanced accuracy,DecisionTree - Cath - balanced accuracy,DecisionTree - VHD - f1 score,DecisionTree - Cath - f1 score,DecisionTree - VHD - jaccard score,DecisionTree - Cath - jaccard score,KNeighbors - VHD - accuracy,KNeighbors - Cath - accuracy,KNeighbors - VHD - balanced accuracy,KNeighbors - Cath - balanced accuracy,KNeighbors - VHD - f1 score,KNeighbors - Cath - f1 score,KNeighbors - VHD - jaccard score,KNeighbors - Cath - jaccard score,AdaBoost - VHD - accuracy,AdaBoost - Cath - accuracy,AdaBoost - VHD - balanced accuracy,AdaBoost - Cath - balanced accuracy,AdaBoost - VHD - f1 score,AdaBoost - Cath - f1 score,AdaBoost - VHD - jaccard score,AdaBoost - Cath - jaccard score,RandomForest - VHD - accuracy,RandomForest - Cath - accuracy,RandomForest - VHD - balanced accuracy,RandomForest - Cath - balanced accuracy,RandomForest - VHD - f1 score,RandomForest - Cath - f1 score,RandomForest - VHD - jaccard score,RandomForest - Cath - jaccard score,MLP - VHD - accuracy,MLP - Cath - accuracy,MLP - VHD - balanced accuracy,MLP - Cath - balanced accuracy,MLP - VHD - f1 score,MLP - Cath - f1 score,MLP - VHD - jaccard score,MLP - Cath - jaccard score,QuadraticDiscriminantAnalysis - VHD - accuracy,QuadraticDiscriminantAnalysis - Cath - accuracy,QuadraticDiscriminantAnalysis - VHD - balanced accuracy,QuadraticDiscriminantAnalysis - Cath - balanced accuracy,QuadraticDiscriminantAnalysis - VHD - f1 score,QuadraticDiscriminantAnalysis - Cath - f1 score,QuadraticDiscriminantAnalysis - VHD - jaccard score,QuadraticDiscriminantAnalysis - Cath - jaccard score,CatBoost - VHD - accuracy,CatBoost - Cath - accuracy,CatBoost - VHD - balanced accuracy,CatBoost - Cath - balanced accuracy,CatBoost - VHD - f1 score,CatBoost - Cath - f1 score,CatBoost - VHD - jaccard score,CatBoost - Cath - jaccard score,ExtraTrees - VHD - accuracy,ExtraTrees - Cath - accuracy,ExtraTrees - VHD - balanced accuracy,ExtraTrees - Cath - balanced accuracy,ExtraTrees - VHD - f1 score,ExtraTrees - Cath - f1 score,ExtraTrees - VHD - jaccard score,ExtraTrees - Cath - jaccard score,Bagging - VHD - accuracy,Bagging - Cath - accuracy,Bagging - VHD - balanced accuracy,Bagging - Cath - balanced accuracy,Bagging - VHD - f1 score,Bagging - Cath - f1 score,Bagging - VHD - jaccard score,Bagging - Cath - jaccard score,Ridge - VHD - accuracy,Ridge - Cath - accuracy,Ridge - VHD - balanced accuracy,Ridge - Cath - balanced accuracy,Ridge - VHD - f1 score,Ridge - Cath - f1 score,Ridge - VHD - jaccard score,Ridge - Cath - jaccard score,PassiveAggressive - VHD - accuracy,PassiveAggressive - Cath - accuracy,PassiveAggressive - VHD - balanced accuracy,PassiveAggressive - Cath - balanced accuracy,PassiveAggressive - VHD - f1 score,PassiveAggressive - Cath - f1 score,PassiveAggressive - VHD - jaccard score,PassiveAggressive - Cath - jaccard score,SGDOneClassSVM - VHD - accuracy,SGDOneClassSVM - Cath - accuracy,SGDOneClassSVM - VHD - balanced accuracy,SGDOneClassSVM - Cath - balanced accuracy,SGDOneClassSVM - VHD - f1 score,SGDOneClassSVM - Cath - f1 score,SGDOneClassSVM - VHD - jaccard score,SGDOneClassSVM - Cath - jaccard score,Dummy - VHD - accuracy,Dummy - Cath - accuracy,Dummy - VHD - balanced accuracy,Dummy - Cath - balanced accuracy,Dummy - VHD - f1 score,Dummy - Cath - f1 score,Dummy - VHD - jaccard score,Dummy - Cath - jaccard score,HistGradientBoosting - VHD - accuracy,HistGradientBoosting - Cath - accuracy,HistGradientBoosting - VHD - balanced accuracy,HistGradientBoosting - Cath - balanced accuracy,HistGradientBoosting - VHD - f1 score,HistGradientBoosting - Cath - f1 score,HistGradientBoosting - VHD - jaccard score,HistGradientBoosting - Cath - jaccard score,ComplementNB - VHD - accuracy,ComplementNB - Cath - accuracy,ComplementNB - VHD - balanced accuracy,ComplementNB - Cath - balanced accuracy,ComplementNB - VHD - f1 score,ComplementNB - Cath - f1 score,ComplementNB - VHD - jaccard score,ComplementNB - Cath - jaccard score
60,0.508196721,0.803278689,0.508196721,0.803278689,0.673913043,0.890909091,0.508196721,0.803278689,0.540983607,0.704918033,0.291666667,0.596899225,0.537663284,0.685032074,0.382232022,0.547988077,0.229508197,0.770491803,0.382142857,0.575757576,0.163216307,0.802122741,0.094895488,0.699986107,0.426229508,0.606557377,0.248875562,0.523892774,0.406992305,0.571052862,0.267615761,0.427521602,0.573770492,0.704918033,0.384960718,0.458726415,0.588859032,0.728640309,0.423091586,0.615099223,0.491803279,0.754098361,0.253036437,0.601818182,0.508196721,0.758202121,0.351873536,0.641932701,0.459016393,0.803278689,0.314253648,0.803278689,0.470418028,0.890909091,0.309140586,0.803278689,0.508196721,0.803278689,0.508196721,0.803278689,0.673913043,0.890909091,0.508196721,0.803278689,0.016393443,0.68852459,0.016393443,0.567513369,0.032258065,0.670046257,0.016393443,0.534640906,0.475409836,0.803278689,0.370614035,0.803278689,0.599006458,0.890909091,0.438326738,0.803278689,0.491803279,0.770491803,0.265625,0.636904762,0.488618267,0.770491803,0.334081104,0.654227783,0.442622951,0.672131148,0.232078853,0.511398176,0.446334674,0.662936108,0.291738624,0.534740826,0.524590164,0.803278689,0.591954023,0.803278689,0.64778552,0.890909091,0.487110617,0.803278689,0.508196721,0.606557377,0.508196721,0.563186813,0.673913043,0.56686799,0.508196721,0.415006757,0.081967213,0.573770492,0.166666667,0.406976744,0.053456878,0.536350677,0.029988005,0.432844406,0.508196721,0.803278689,0.508196721,0.803278689,0.673913043,0.890909091,0.508196721,0.803278689,0.475409836,0.754098361,0.270336606,0.619391026,0.462361994,0.750447862,0.312920725,0.629391101,0.524590164,0.803278689,0.758333333,0.803278689,0.671363852,0.890909091,0.508827238,0.803278689
61,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803,0.409836066,0.721311475,0.241873065,0.560897436,0.411231252,0.744566117,0.269974893,0.624731487,0.196721311,0.573770492,0.294086022,0.47804878,0.209634466,0.550692557,0.12519516,0.409260857,0.37704918,0.737704918,0.251838235,0.629179331,0.377933906,0.737704918,0.239981744,0.608941878,0.426229508,0.737704918,0.291101056,0.601960784,0.449544627,0.754209881,0.291416353,0.634167386,0.393442623,0.639344262,0.353601954,0.490121581,0.404234728,0.639344262,0.257572209,0.505777275,0.475409836,0.754098361,0.361781076,0.383333333,0.535989912,0.845717788,0.372883158,0.741736092,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803,0.098360656,0.606557377,0.098360656,0.471527778,0.179104478,0.597719173,0.098360656,0.461591609,0.37704918,0.770491803,0.346078431,0.770491803,0.460204162,0.87037037,0.307407864,0.770491803,0.409836066,0.737704918,0.301587302,0.583726415,0.422697432,0.765603577,0.275371457,0.649876529,0.475409836,0.62295082,0.252415459,0.451923077,0.496821891,0.627948743,0.334264921,0.497182551,0.426229508,0.770491803,0.461864407,0.770491803,0.571134683,0.87037037,0.404136047,0.770491803,0.426229508,0.655737705,0.426229508,0.544786096,0.597701149,0.644754505,0.426229508,0.504413619,0.163934426,0.327868852,0.2,0.333333333,0.160720026,0.255482223,0.099960016,0.172562554,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803,0.426229508,0.68852459,0.232142857,0.451058201,0.440870734,0.729643456,0.288822487,0.610655738,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803
62,0.540983607,0.639344262,0.540983607,0.639344262,0.70212766,0.78,0.540983607,0.639344262,0.393442623,0.590163934,0.233630952,0.515224359,0.381432269,0.621658726,0.245710574,0.471116315,0.196721311,0.557377049,0.172222222,0.376984127,0.246545024,0.636153103,0.14498739,0.490983607,0.442622951,0.62295082,0.273411371,0.582080201,0.415510481,0.62976291,0.280583526,0.471587327,0.491803279,0.606557377,0.342857143,0.508254717,0.513968641,0.668424804,0.347884102,0.523899253,0.540983607,0.590163934,0.45959596,0.515224359,0.581108509,0.621658726,0.424518988,0.471116315,0.590163934,0.62295082,0.573333333,0.316666667,0.619826815,0.755091903,0.455269321,0.612738511,0.540983607,0.639344262,0.540983607,0.639344262,0.70212766,0.78,0.540983607,0.639344262,0.06557377,0.590163934,0.06557377,0.501818182,0.123076923,0.633142997,0.06557377,0.48503962,0.508196721,0.62295082,0.304487179,0.316666667,0.587849566,0.755091903,0.433323747,0.612738511,0.508196721,0.590163934,0.268610422,0.457671958,0.514856557,0.663104725,0.356648452,0.51864201,0.524590164,0.524590164,0.277380952,0.417467949,0.535712071,0.561124122,0.373337079,0.413422131,0.573770492,0.639344262,0.55,0.639344262,0.621158824,0.78,0.460495018,0.639344262,0.426229508,0.639344262,0.596428571,0.639344262,0.535120904,0.78,0.370298939,0.639344262,0.37704918,0.491803279,0.280487805,0.365853659,0.417811254,0.504098361,0.303117968,0.403278689,0.540983607,0.639344262,0.540983607,0.639344262,0.70212766,0.78,0.540983607,0.639344262,0.426229508,0.540983607,0.30617284,0.431122449,0.433543506,0.58240554,0.282252316,0.434526523,0.524590164,0.639344262,0.433908046,0.639344262,0.651745631,0.78,0.493306011,0.639344262
63,0.540983607,0.655737705,0.540983607,0.655737705,0.70212766,0.792079208,0.540983607,0.655737705,0.491803279,0.590163934,0.255681818,0.493197279,0.50273224,0.625328622,0.347622442,0.478097448,0.327868852,0.606557377,0.362210339,0.493589744,0.269503725,0.6595866,0.169789227,0.516110797,0.524590164,0.524590164,0.292857143,0.47960373,0.529435285,0.522071066,0.374740908,0.366120219,0.557377049,0.524590164,0.54956427,0.353921569,0.589154637,0.580203509,0.41885755,0.437431694,0.393442623,0.590163934,0.239737274,0.401515152,0.378635643,0.671651807,0.246243169,0.529739386,0.508196721,0.655737705,0.493707094,0.655737705,0.53989211,0.792079208,0.372536162,0.655737705,0.540983607,0.655737705,0.540983607,0.655737705,0.70212766,0.792079208,0.540983607,0.655737705,0.442622951,0.590163934,0.272167488,0.445754717,0.438251366,0.653379286,0.302107728,0.51040927,0.508196721,0.655737705,0.489285714,0.655737705,0.542780148,0.792079208,0.376756962,0.655737705,0.540983607,0.639344262,0.365882353,0.558760684,0.563228051,0.687954383,0.399102763,0.54613836,0.475409836,0.590163934,0.476044226,0.493197279,0.48626618,0.625328622,0.328337237,0.478097448,0.573770492,0.655737705,0.562727273,0.655737705,0.640405886,0.792079208,0.481808416,0.655737705,0.573770492,0.655737705,0.38512949,0.655737705,0.601477719,0.792079208,0.440260135,0.655737705,0.31147541,0.180327869,0.263888889,0.305555556,0.325017819,0.111927643,0.224262295,0.069061737,0.540983607,0.655737705,0.540983607,0.655737705,0.70212766,0.792079208,0.540983607,0.655737705,0.540983607,0.62295082,0.382575758,0.533333333,0.555191257,0.667057955,0.395046329,0.522992363,0.573770492,0.655737705,0.779661017,0.655737705,0.699572345,0.792079208,0.544106167,0.655737705
64,0.475409836,0.721311475,0.475409836,0.721311475,0.644444444,0.838095238,0.475409836,0.721311475,0.475409836,0.721311475,0.255583127,0.622727273,0.489237811,0.772471688,0.331467413,0.652119842,0.147540984,0.704918033,0.213492063,0.616185897,0.136464333,0.718175339,0.078688525,0.582637854,0.491803279,0.655737705,0.360689655,0.550911854,0.491803279,0.666720905,0.330327869,0.525693569,0.475409836,0.721311475,0.481481481,0.61440678,0.488850037,0.81102725,0.324772313,0.694990893,0.409836066,0.639344262,0.212697274,0.466880342,0.438563622,0.679802438,0.288398487,0.546888024,0.475409836,0.721311475,0.474937343,0.721311475,0.515322936,0.838095238,0.35010332,0.721311475,0.475409836,0.721311475,0.475409836,0.721311475,0.644444444,0.838095238,0.475409836,0.721311475,0.081967213,0.704918033,0.081967213,0.607272727,0.151515152,0.727116448,0.081967213,0.5954078,0.459016393,0.721311475,0.431891026,0.721311475,0.52617012,0.838095238,0.367444941,0.721311475,0.491803279,0.68852459,0.258928571,0.555424528,0.509843909,0.730140274,0.348360656,0.602112133,0.442622951,0.655737705,0.321969697,0.550911854,0.447691174,0.666720905,0.294921301,0.525693569,0.491803279,0.721311475,0.518162393,0.721311475,0.569603676,0.838095238,0.406000162,0.721311475,0.213114754,0.278688525,0.312661499,0.278688525,0.213681549,0.435897436,0.126746419,0.278688525,0.295081967,0.459016393,0.25,0.388888889,0.326860025,0.413114754,0.22602023,0.31778058,0.475409836,0.721311475,0.475409836,0.721311475,0.644444444,0.838095238,0.475409836,0.721311475,0.475409836,0.62295082,0.25,0.452941176,0.492410443,0.65793628,0.332234083,0.52325646,0.491803279,0.721311475,0.741666667,0.721311475,0.64226306,0.838095238,0.476065574,0.721311475
65,0.459016393,0.68852459,0.459016393,0.68852459,0.629213483,0.815533981,0.459016393,0.68852459,0.409836066,0.606557377,0.202083333,0.497596154,0.448790115,0.630327869,0.302116771,0.486010107,0.31147541,0.639344262,0.377462121,0.485449735,0.294095874,0.700031526,0.173302108,0.564717051,0.442622951,0.491803279,0.295160455,0.397286822,0.44057377,0.495681409,0.292323611,0.354188142,0.508196721,0.606557377,0.502197802,0.447649573,0.546662381,0.655887189,0.378912072,0.517045333,0.442622951,0.590163934,0.385123615,0.433333333,0.463517665,0.633928409,0.304022708,0.493943791,0.426229508,0.672131148,0.411057692,0.341666667,0.490940466,0.790742527,0.332737208,0.661112604,0.459016393,0.68852459,0.459016393,0.68852459,0.629213483,0.815533981,0.459016393,0.68852459,0.475409836,0.540983607,0.418137255,0.317307692,0.504614961,0.598535054,0.341200564,0.461166353,0.475409836,0.68852459,0.472463768,0.68852459,0.534448383,0.815533981,0.371202568,0.68852459,0.393442623,0.606557377,0.20361991,0.404761905,0.423153553,0.672761665,0.281309245,0.535737705,0.508196721,0.557377049,0.485416667,0.476098191,0.574630422,0.560754776,0.415326786,0.411153396,0.475409836,0.68852459,0.566091954,0.68852459,0.604052067,0.815533981,0.438903969,0.68852459,0.475409836,0.68852459,0.566091954,0.68852459,0.604052067,0.815533981,0.438903969,0.68852459,0.180327869,0.344262295,0.177419355,0.308823529,0.189497083,0.308024159,0.116461749,0.212816692,0.459016393,0.68852459,0.459016393,0.68852459,0.629213483,0.815533981,0.459016393,0.68852459,0.442622951,0.590163934,0.313480392,0.461734694,0.469715755,0.620672823,0.31147541,0.478115158,0.459016393,0.68852459,0.459016393,0.68852459,0.629213483,0.815533981,0.459016393,0.68852459
66,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0.475409836,0.68852459,0.263925729,0.597272727,0.484224061,0.714394257,0.331065257,0.579137393,0.180327869,0.68852459,0.342261905,0.35,0.102216673,0.802164571,0.059816697,0.677237302,0.295081967,0.62295082,0.229090909,0.553258145,0.287109577,0.620073497,0.169225305,0.467941712,0.491803279,0.655737705,0.338095238,0.448214286,0.520575443,0.730426143,0.35711121,0.600447094,0.508196721,0.704918033,0.353683898,0.613636364,0.499964243,0.760622282,0.345019862,0.63587176,0.508196721,0.68852459,0.505813953,0.520114943,0.560373296,0.776636446,0.394603743,0.652185792,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0,0.639344262,0,0.540273556,0,0.653870674,0,0.510300113,0.442622951,0.704918033,0.435164835,0.704918033,0.476802743,0.826923077,0.316004033,0.704918033,0.37704918,0.655737705,0.238010069,0.448214286,0.392289678,0.730426143,0.252073843,0.600447094,0.409836066,0.557377049,0.219444444,0.436956522,0.425633383,0.570036337,0.275747508,0.427642736,0.491803279,0.704918033,0.526455026,0.704918033,0.590063974,0.826923077,0.427400468,0.704918033,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0.37704918,0.180327869,0.225490196,0.392857143,0.486822992,0.088582111,0.343384075,0.054882395,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0.491803279,0.704918033,0.261363636,0.62254902,0.511975605,0.73451592,0.354061267,0.60296813,0.475409836,0.704918033,0.733333333,0.704918033,0.62719248,0.826923077,0.459672131,0.704918033
67,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.426229508,0.704918033,0.350095785,0.582352941,0.454380093,0.729744641,0.299641615,0.601851126,0.344262295,0.721311475,0.453333333,0.537356322,0.329133954,0.799065147,0.204119651,0.684153005,0.393442623,0.68852459,0.286956522,0.603609626,0.411382509,0.685555128,0.262588599,0.542548223,0.409836066,0.737704918,0.259259259,0.642156863,0.454042532,0.759773014,0.302609568,0.636221702,0.426229508,0.655737705,0.305376344,0.476495726,0.468304009,0.691512591,0.31432592,0.561871051,0.540983607,0.754098361,0.514285714,0.875,0.61420765,0.845019975,0.44703657,0.738729508,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.459016393,0.737704918,0.45625,0.627192982,0.485082985,0.80096432,0.32247482,0.688308481,0.393442623,0.737704918,0.347222222,0.737704918,0.453168689,0.849056604,0.29919692,0.737704918,0.426229508,0.754098361,0.392773893,0.674603175,0.48041253,0.791032204,0.322854388,0.676445211,0.459016393,0.672131148,0.4173636,0.52254902,0.498375253,0.699716267,0.335064368,0.569149851,0.508196721,0.737704918,0.465277778,0.737704918,0.5839472,0.849056604,0.420239596,0.737704918,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.31147541,0.213114754,0.231707317,0.382352941,0.349876488,0.116869381,0.236490589,0.073937772,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.491803279,0.68852459,0.325552826,0.541666667,0.549536707,0.720892344,0.385587432,0.593324426,0.491803279,0.737704918,0.421212121,0.737704918,0.600037686,0.849056604,0.4388256,0.737704918
68,0.540983607,0.737704918,0.540983607,0.737704918,0.70212766,0.849056604,0.540983607,0.737704918,0.426229508,0.590163934,0.236607143,0.431089744,0.42034208,0.604752092,0.288251366,0.469245572,0.229508197,0.540983607,0.181964573,0.472610723,0.2856102,0.521138913,0.173302108,0.37431694,0.426229508,0.508196721,0.263798701,0.392764858,0.409180328,0.499320593,0.272907568,0.364927758,0.508196721,0.655737705,0.503771552,0.506363636,0.530405756,0.678554309,0.362958496,0.545435274,0.573770492,0.62295082,0.469298246,0.411324786,0.594946998,0.662132838,0.431693239,0.531830601,0.557377049,0.672131148,0.533018868,0.359649123,0.641148812,0.7512054,0.485633219,0.628056974,0.540983607,0.737704918,0.540983607,0.737704918,0.70212766,0.849056604,0.540983607,0.737704918,0.442622951,0.508196721,0.254716981,0.416463415,0.545558521,0.492311602,0.397610447,0.354283365,0.590163934,0.737704918,0.58125,0.737704918,0.634963828,0.849056604,0.471951584,0.737704918,0.475409836,0.62295082,0.235671192,0.479967949,0.494220261,0.636371925,0.350771009,0.499434709,0.426229508,0.606557377,0.304597701,0.44047619,0.422020527,0.626289302,0.273146828,0.491653664,0.557377049,0.737704918,0.576785714,0.737704918,0.657743395,0.849056604,0.500918598,0.737704918,0.344262295,0.737704918,0.159090909,0.737704918,0.344262295,0.849056604,0.252459016,0.737704918,0.147540984,0.196721311,0.236842105,0.352941176,0.107818411,0.107879429,0.065192528,0.066885246,0.540983607,0.737704918,0.540983607,0.737704918,0.70212766,0.849056604,0.540983607,0.737704918,0.491803279,0.606557377,0.260210804,0.44047619,0.495446266,0.626289302,0.342938601,0.491653664,0.540983607,0.737704918,0.540983607,0.737704918,0.70212766,0.849056604,0.540983607,0.737704918
69,0.491803279,0.786885246,0.491803279,0.786885246,0.659340659,0.880733945,0.491803279,0.786885246,0.475409836,0.721311475,0.31986532,0.574829932,0.492392441,0.725448707,0.329476905,0.601175069,0.262295082,0.770491803,0.278571429,0.391666667,0.291609465,0.856102004,0.18852459,0.75786079,0.442622951,0.524590164,0.318333333,0.501082251,0.442780139,0.481644379,0.285827297,0.33442623,0.459016393,0.754098361,0.464285714,0.519736842,0.480074481,0.808651329,0.315959157,0.704918033,0.491803279,0.754098361,0.270967742,0.611764706,0.491018903,0.766409642,0.335187354,0.650560828,0.540983607,0.754098361,0.377777778,0.519736842,0.580087965,0.808651329,0.416315092,0.704918033,0.491803279,0.786885246,0.491803279,0.786885246,0.659340659,0.880733945,0.491803279,0.786885246,0.016393443,0.754098361,0.016393443,0.566666667,0.032258065,0.79104015,0.016393443,0.683980844,0.409836066,0.770491803,0.215277778,0.391666667,0.484768036,0.856102004,0.339990065,0.75786079,0.442622951,0.655737705,0.299221357,0.500759878,0.457384379,0.651174384,0.298388835,0.520209158,0.442622951,0.655737705,0.232954545,0.564634146,0.449336456,0.632763442,0.29828938,0.488359,0.491803279,0.786885246,0.495614035,0.786885246,0.610212926,0.880733945,0.448140356,0.786885246,0.491803279,0.786885246,0.728070175,0.786885246,0.600852784,0.880733945,0.434972678,0.786885246,0.31147541,0.459016393,0.226190476,0.388888889,0.363387978,0.393442623,0.24682957,0.295081967,0.491803279,0.786885246,0.491803279,0.786885246,0.659340659,0.880733945,0.491803279,0.786885246,0.475409836,0.68852459,0.258928571,0.547112462,0.475430773,0.684395871,0.320777735,0.553575671,0.491803279,0.786885246,0.495762712,0.786885246,0.632660579,0.880733945,0.468700668,0.786885246
70,0.540983607,0.655737705,0.540983607,0.655737705,0.70212766,0.792079208,0.540983607,0.655737705,0.459016393,0.573770492,0.295249795,0.456363636,0.493400588,0.616689435,0.338846604,0.470887507,0.147540984,0.540983607,0.144444444,0.400909091,0.195877672,0.587204007,0.109209257,0.442697045,0.393442623,0.426229508,0.216589862,0.38795045,0.394575065,0.418281172,0.263408767,0.276639344,0.37704918,0.62295082,0.375268817,0.493939394,0.405639606,0.697919663,0.256453149,0.558021673,0.393442623,0.524590164,0.331169485,0.353921569,0.38891491,0.580203509,0.246538031,0.437431694,0.409836066,0.655737705,0.397727273,0.580508475,0.437887067,0.76489773,0.287424504,0.630178838,0.540983607,0.655737705,0.540983607,0.655737705,0.70212766,0.792079208,0.540983607,0.655737705,0.409836066,0.639344262,0.309027778,0.558760684,0.428800338,0.687954383,0.279952646,0.54613836,0.426229508,0.655737705,0.496124031,0.655737705,0.467823851,0.792079208,0.305334722,0.655737705,0.442622951,0.639344262,0.276145711,0.547619048,0.47704918,0.702650855,0.326491252,0.563233465,0.459016393,0.590163934,0.615740741,0.520833333,0.480568642,0.605801559,0.324228052,0.453151291,0.540983607,0.655737705,0.519385027,0.655737705,0.599531616,0.792079208,0.432534678,0.655737705,0.278688525,0.655737705,0.278688525,0.655737705,0.435897436,0.792079208,0.278688525,0.655737705,0.114754098,0.131147541,0.233333333,0.266666667,0.071721311,0.071535022,0.041983207,0.041855598,0.540983607,0.655737705,0.540983607,0.655737705,0.70212766,0.792079208,0.540983607,0.655737705,0.475409836,0.590163934,0.476689977,0.473529412,0.500614225,0.638106473,0.33612767,0.493256884,0.573770492,0.655737705,0.615151515,0.655737705,0.669458304,0.792079208,0.511072764,0.655737705
71,0.491803279,0.754098361,0.491803279,0.754098361,0.659340659,0.859813084,0.491803279,0.754098361,0.540983607,0.508196721,0.287841191,0.397869674,0.565215444,0.490444464,0.405404785,0.357894554,0.229508197,0.672131148,0.26744186,0.516363636,0.291334895,0.690521227,0.181693989,0.560547595,0.360655738,0.557377049,0.200513196,0.485431235,0.364686912,0.533732962,0.233948489,0.387441452,0.524590164,0.704918033,0.366666667,0.551282051,0.552131148,0.732770157,0.389279209,0.608980053,0.540983607,0.655737705,0.45154321,0.525835866,0.542471646,0.659822389,0.390199819,0.523347714,0.540983607,0.704918033,0.537878788,0.370689655,0.583356753,0.786254729,0.412112933,0.670249933,0.491803279,0.754098361,0.491803279,0.754098361,0.659340659,0.859813084,0.491803279,0.754098361,0.37704918,0.672131148,0.234060762,0.486111111,0.416768504,0.703077952,0.271531429,0.576902675,0.524590164,0.754098361,0.554901961,0.754098361,0.598208865,0.859813084,0.43306202,0.754098361,0.573770492,0.68852459,0.57518797,0.456060606,0.62614954,0.741391704,0.458469945,0.621038251,0.475409836,0.508196721,0.325563326,0.44221968,0.505074161,0.479847159,0.342005227,0.339440694,0.524590164,0.754098361,0.587878788,0.754098361,0.62212426,0.859813084,0.459303998,0.754098361,0.508196721,0.754098361,0.75,0.754098361,0.657163222,0.859813084,0.492548435,0.754098361,0.327868852,0.147540984,0.243902439,0.346153846,0.378665435,0.065018061,0.263580842,0.038360656,0.491803279,0.754098361,0.491803279,0.754098361,0.659340659,0.859813084,0.491803279,0.754098361,0.557377049,0.573770492,0.287931034,0.425362319,0.593378335,0.573770492,0.428103044,0.439348232,0.524590164,0.754098361,0.754237288,0.754098361,0.657518266,0.859813084,0.494783905,0.754098361
72,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803,0.524590164,0.672131148,0.383549784,0.482352941,0.544707644,0.692762351,0.384445292,0.567556645,0.262295082,0.770491803,0.194344883,0.644736842,0.291107799,0.823210032,0.187704918,0.720894693,0.442622951,0.606557377,0.459359606,0.494832041,0.450670641,0.590710383,0.291142458,0.450265007,0.540983607,0.704918033,0.378787879,0.465151515,0.575966042,0.752362584,0.407285974,0.636324418,0.426229508,0.672131148,0.329623741,0.512755102,0.441357368,0.681326187,0.295825272,0.551945339,0.393442623,0.803278689,0.256728778,0.898305085,0.453973966,0.865914012,0.302213287,0.775175644,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803,0.278688525,0.754098361,0.138888889,0.612433862,0.308196721,0.786560623,0.18862455,0.675428679,0.491803279,0.770491803,0.506707317,0.770491803,0.534679237,0.87037037,0.366234062,0.770491803,0.426229508,0.672131148,0.28907168,0.512755102,0.458912308,0.681326187,0.300749913,0.551945339,0.540983607,0.655737705,0.376845377,0.544786096,0.569099383,0.644754505,0.403285018,0.504413619,0.475409836,0.770491803,0.724137931,0.770491803,0.59843872,0.87037037,0.431693989,0.770491803,0.442622951,0.770491803,0.716666667,0.770491803,0.595909809,0.87037037,0.426836673,0.770491803,0.06557377,0.475409836,0.153846154,0.3625,0.043715847,0.43715847,0.024355972,0.327868852,0.426229508,0.770491803,0.426229508,0.770491803,0.597701149,0.87037037,0.426229508,0.770491803,0.491803279,0.704918033,0.344322344,0.511792453,0.526229508,0.736304024,0.359609348,0.616893582,0.442622951,0.770491803,0.716666667,0.770491803,0.595909809,0.87037037,0.426836673,0.770491803
