,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0012035369873046875,0.00024525388885268505,0.007286787033081055,0.0012001035633569998,brute,7,distance,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 7), ('weights', 'distance')])",-0.1777351946269818,-0.29889248249392586,-0.03899081298551137,-0.17187283003547302,0.10618535662468753,1,-2.564535528347905e-09,-2.545140037151587e-09,-8.882304988602708e-10,-1.9993020214532544e-09,7.85686108870247e-10,7
1,0.0017736752827962239,0.0008126802460722073,0.01765267054239909,0.002208435493815586,ball_tree,5,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 5), ('weights', 'distance')])",-0.4299632759600515,-0.29382111695475416,-0.16741616672751394,-0.29706685321410653,0.10720897737437682,12,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
2,0.001165469487508138,9.767004294807637e-05,0.015143553415934244,0.001322151619922091,ball_tree,3,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 3), ('weights', 'distance')])",-0.5558970990345397,-0.2892833364315366,-0.4193463458157067,-0.4215089270939276,0.1088553540887212,15,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
3,0.0010526974995930989,0.00014865193934505703,0.015055656433105469,0.0005866489916973218,kd_tree,7,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'uniform')])",-0.17795119411520102,-0.30083074926482867,-0.03912942821834241,-0.17263712386612404,0.10690517563500879,5,-0.04310803795861858,-0.03621461796899151,-0.03757601720382922,-0.03896622437714644,0.0029809748715148555,11
4,0.0007535616556803385,7.955618305014806e-05,0.00489656130472819,0.0006020054276870871,brute,7,distance,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 7), ('weights', 'distance')])",-0.1777351946269818,-0.29889248249392586,-0.03899081298551137,-0.17187283003547302,0.10618535662468753,1,-2.564535528347905e-09,-2.545140037151587e-09,-8.882304988602708e-10,-1.9993020214532544e-09,7.85686108870247e-10,7
5,0.0007088979085286459,2.1862115580440328e-05,0.0034613609313964844,0.0007780960700025125,auto,5,uniform,"OrderedDict([('algorithm', 'auto'), ('n_neighbors', 5), ('weights', 'uniform')])",-0.43137935167714364,-0.29515404285283964,-0.16804668433081635,-0.29819335962026655,0.10752659053382235,14,-0.036484456551517164,-0.027019454244008468,-0.03094815654711795,-0.03148402244754786,0.0038826049131752516,10
6,0.0010793209075927734,0.00011593077360481868,0.015021880467732748,0.0006257126624843868,kd_tree,7,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'uniform')])",-0.17795119411520102,-0.30083074926482867,-0.03912942821834241,-0.17263712386612404,0.10690517563500879,5,-0.04310803795861858,-0.03621461796899151,-0.03757601720382922,-0.03896622437714644,0.0029809748715148555,11
7,0.001175244649251302,4.5219288971984554e-05,0.015580892562866211,0.00036906410548996215,kd_tree,7,distance,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'distance')])",-0.17773519462698179,-0.29889248249392586,-0.03899081298551136,-0.17187283003547302,0.10618535662468753,1,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
8,0.0010037422180175781,5.6114367500562396e-05,0.015519460042317709,0.0022349836381300556,ball_tree,7,uniform,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 7), ('weights', 'uniform')])",-0.17795119411520102,-0.30083074926482867,-0.03912942821834241,-0.17263712386612404,0.10690517563500879,5,-0.04310803795861858,-0.03621461796899151,-0.03757601720382922,-0.03896622437714644,0.0029809748715148555,11
9,0.004044135411580403,0.0030136709552649314,0.034052530924479164,0.02624349395203255,ball_tree,5,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 5), ('weights', 'distance')])",-0.4299632759600515,-0.29382111695475416,-0.16741616672751394,-0.29706685321410653,0.10720897737437682,12,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
10,0.006030639012654622,0.005872039583153606,0.030399799346923828,0.006716492024760607,ball_tree,9,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 9), ('weights', 'distance')])",-0.17200598508887843,-0.3025392823419042,-0.04396557696468753,-0.17283694813182338,0.10556390845615739,8,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
11,0.001600344975789388,0.0007184053147073525,0.013129552205403646,0.00905394001612419,brute,9,uniform,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 9), ('weights', 'uniform')])",-0.17264005500346818,-0.30453727686132387,-0.04472272661863055,-0.17396668616114086,0.10607299402494691,10,-0.04921775121403264,-0.03781393469476873,-0.041835416826945644,-0.04295570091191567,0.004722501817507113,14
12,0.0023383299509684243,0.0011379298652773753,0.036326964696248375,0.01967938172756683,kd_tree,9,distance,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 9), ('weights', 'distance')])",-0.17200598508887843,-0.3025392823419042,-0.04396557696468753,-0.17283694813182338,0.10556390845615739,8,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
