,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.18690903981526694,0.019206171330317944,0.031749725341796875,0.005356878708218024,9,3,3,100,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 100)])",-0.12353704014970451,-0.1494201347829655,-0.1325446156955775,-0.1351672635427492,0.010728229373830884,5,-0.11351681433990092,-0.11609208421796668,-0.125964310402523,-0.11852440298679685,0.005364834293939923,5
1,0.16376026471455893,0.02517381459568507,0.027155717213948567,0.001658056604259161,7,4,3,100,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 100)])",-0.13056857316518283,-0.1642202609429096,-0.14808063463281426,-0.1476231562469689,0.013742051943518427,8,-0.12596438733818166,-0.1333491313793203,-0.14560204223584602,-0.134971853651116,0.008098736244973722,8
2,0.15271313985188803,0.006083453917836746,0.03205609321594238,0.007514440945422217,3,2,4,100,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 100)])",-0.17105800497939022,-0.1882877400513295,-0.16046525154334468,-0.1732703321913548,0.011465702783049285,14,-0.17037638801206154,-0.15787331851710523,-0.15758534191489118,-0.1619450161480193,0.005963039284524728,14
3,0.2736357847849528,0.006215361204333897,0.04191780090332031,0.005018822701965642,9,3,3,200,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 200)])",-0.12805444500850385,-0.14908440593909508,-0.13659712216086173,-0.13791199103615356,0.008635642199819566,6,-0.11817055963612424,-0.11713806315159218,-0.13022230095276746,-0.12184364124682796,0.005939582819165747,6
4,0.31187208493550617,0.025849268406956904,0.04971790313720703,0.0008249614273425111,7,1,4,200,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 4), ('n_estimators', 200)])",-0.11306141798858078,-0.13617161382929022,-0.10736861340230286,-0.11886721507339128,0.012454816156591903,4,-0.09256285984498208,-0.08742811680027918,-0.08979580388573756,-0.08992892684366627,0.0020983625084379457,4
5,0.28973571459452313,0.011895253074707002,0.05145589510599772,0.0019950669757257144,3,3,3,200,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 200)])",-0.1684836321876061,-0.19062597817533347,-0.16851411011539752,-0.17587457349277902,0.010430825704209215,15,-0.16770540092122427,-0.16456323502022202,-0.1652838647912362,-0.16585083357756084,0.0013439721824638929,15
6,0.07561175028483073,0.006189123161950007,0.01611932118733724,0.0014608385717470303,5,4,3,50,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 50)])",-0.15230448902911342,-0.1693960963298475,-0.14254876644607353,-0.1547497839350115,0.011095926605580808,11,-0.1487368286141507,-0.14406448425103005,-0.14169895280732608,-0.14483342189083562,0.002924194793842581,11
7,0.06997839609781902,0.001854606848640712,0.014615615208943685,0.00046242078172661883,7,5,5,50,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 50)])",-0.14702323084072158,-0.17599969256959333,-0.14712454043566495,-0.15671582128199327,0.013635818879848542,12,-0.1422834858571275,-0.15003990912291681,-0.1469839465357262,-0.14643578050525685,0.003190181809577615,12
8,0.16040873527526855,0.012763867444090604,0.04435372352600098,0.014930378446835486,7,4,3,100,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 100)])",-0.13056857316518286,-0.1642202609429096,-0.14808063463281432,-0.1476231562469689,0.013742051943518416,8,-0.12596438733818177,-0.13334913137932028,-0.14560204223584608,-0.13497185365111605,0.008098736244973708,9
9,0.41285284360249835,0.0874001580513071,0.06021277109781901,0.01686371265118588,7,3,4,200,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 200)])",-0.1350358683203006,-0.15715206258072495,-0.13978436266893357,-0.14399076452331971,0.009506204099135964,7,-0.1279970844373837,-0.1246755378031995,-0.13335189497250718,-0.12867483907103014,0.0035743817124943567,7
10,0.21712017059326172,0.03153356637714535,0.04538249969482422,0.010343746848362543,7,1,2,100,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])",-0.11128576761716588,-0.13400782712026016,-0.09756471696100713,-0.11428610389947773,0.015028341733207082,3,-0.08949528303170114,-0.08007613331615396,-0.07864318197448443,-0.08273819944077986,0.0048136591333358516,3
11,0.17679119110107422,0.010071612728220268,0.03227400779724121,0.00596901841854122,5,3,4,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 100)])",-0.143615625741733,-0.17048545617955005,-0.14275703586733293,-0.15228603926287199,0.012873703849926177,10,-0.1410086877497706,-0.13895781347414954,-0.13918270884781322,-0.13971640335724445,0.0009183839776654187,10
