,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0031266212463378906,0.0018010886940776794,0.0031610329945882163,0.0016446539671260202,entropy,9,2,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 2)])",-0.15253102852524883,-0.6749747825677371,-0.410637490436164,-0.41271443384304995,0.2132918256051062,11,-0.0061835588480383605,-2.2204460492503136e-16,-0.003575922293791304,-0.003253160380609962,0.002534723054725841,2
1,0.0033031304677327475,0.001426072669098372,0.0023245811462402344,0.0006909028444762735,gini,9,1,5,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 1), ('min_samples_split', 5)])",-0.004555787731552628,-0.944964695594832,-0.6775122817503226,-0.542344255025569,0.3956387452240147,12,-0.0071652626824934215,-0.0035826313412468218,-2.2204460492503136e-16,-0.0035826313412468218,0.002925206240852362,3
2,0.004234711329142253,0.0017722909433825016,0.008800109227498373,0.0062189663584749245,entropy,7,1,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 2)])",-0.9449646955948319,-0.6749747825677371,-0.5420098254002582,-0.7206497678542757,0.1676460757351144,15,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
3,0.0012004375457763672,0.00012564199162943036,0.0013076464335123699,0.00023060433066748084,gini,5,4,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 4)])",-0.2950682116573821,-0.6885913928283931,-0.15502060799484066,-0.379560070826872,0.2258740081054199,10,-0.017224788713085935,-0.02417573882309921,-0.01621266711668587,-0.01920439821762367,0.003539469648898666,12
4,0.0010766983032226562,0.00015094099290757635,0.0009442965189615885,6.180955361344386e-05,entropy,7,4,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 3)])",-0.16742029074691891,-0.5462494007117616,-0.15502060799484066,-0.2895634331511737,0.18157496613423785,2,-0.017224788713085932,-0.009422006192711316,-0.01621266711668587,-0.014286487340827705,0.003464436477674223,7
5,0.0009656747182210287,5.551598784936907e-05,0.0009021759033203125,3.276036696535357e-05,gini,3,4,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 3), ('min_samples_leaf', 4), ('min_samples_split', 4)])",-0.17396620284912306,-0.6878473433905402,-0.036256165792915504,-0.29935657067752625,0.2803983166127209,6,-0.026178378030149038,-0.028415608228215754,-0.020210797831632828,-0.024934928029999207,0.003463077084340195,15
6,0.0009503364562988281,4.571962482306921e-05,0.0009055137634277344,4.720447033220132e-05,entropy,5,4,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 5)])",-0.16526536885589432,-0.551441514423821,-0.15502060799484066,-0.290575830424852,0.18450730355456127,4,-0.017224788713085932,-0.009422006192711316,-0.01621266711668587,-0.014286487340827705,0.003464436477674223,7
7,0.0010121663411458333,7.139016508818515e-05,0.0009105205535888672,2.6131227352893315e-05,gini,5,2,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 4)])",-0.41992488469631384,-0.9475607524508618,-0.410637490436164,-0.5927077091944466,0.2509476381695198,14,-0.0061835588480383605,-0.011385413861621438,-0.003575922293791304,-0.0070482983344837,0.003246317957477959,4
8,0.0010534922281901042,0.00014029474276185206,0.0008931159973144531,3.0586418352124496e-05,gini,5,2,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 4)])",-0.41992488469631384,-0.944964695594832,-0.410637490436164,-0.5918423569091033,0.2497239856083709,13,-0.0061835588480383605,-0.011385413861621438,-0.003575922293791304,-0.0070482983344837,0.003246317957477959,4
9,0.0018881956736246746,0.0010773726317409285,0.0058392683664957685,0.006892265668665487,gini,5,5,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 4)])",-0.17174440109417094,-0.55982371132216,-0.2815816447180241,-0.3377165857114517,0.1633293940824485,9,-0.01977129964063333,-0.02563149807822164,-0.018775193887822117,-0.021392663868892364,0.003024769220765007,13
10,0.0028537909189860025,0.002404349671459882,0.007906516393025717,0.0052507460594843425,entropy,3,4,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 3), ('min_samples_leaf', 4), ('min_samples_split', 5)])",-0.17288874190361078,-0.5538159100301131,-0.036256165792915504,-0.25432027257554646,0.2189982387362954,1,-0.026178378030149038,-0.021878069878002605,-0.020210797831632828,-0.022755748579928153,0.0025140595702689023,14
11,0.001192172368367513,0.0001420188230288966,0.005537192026774089,0.006050777849199073,entropy,9,5,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 3)])",-0.17053158791414225,-0.5438062352209762,-0.2815816447180241,-0.3319731559510475,0.15649913500031717,7,-0.01977129964063333,-0.01262686054426394,-0.018775193887822117,-0.017057784690906463,0.0031594169570424145,11
