,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.19742163022359213,0.08738789159180854,0.0018963019053141277,0.0005910968737862617,0.1,5,200,"OrderedDict([('learning_rate', 0.1), ('max_depth', 5), ('n_estimators', 200)])",-0.07761518826114473,-0.45230199336198174,-0.3382869055965378,-0.2894013624065548,0.1568224000345676,8,-7.200573580599984e-09,-6.9077824247027264e-09,-6.901352959262644e-09,-7.0032363215217845e-09,1.3956319923684182e-10,10
1,0.07901088396708171,0.027398397469579543,0.0027565956115722656,0.0020738755465774424,0.1,7,100,"OrderedDict([('learning_rate', 0.1), ('max_depth', 7), ('n_estimators', 100)])",-0.05528506512999009,-0.3165168555733669,-0.22066235058032438,-0.1974880904278938,0.10789901709398618,5,-5.087117204931756e-06,-4.9412349195442055e-06,-5.07758134598867e-06,-5.035311156821543e-06,6.663576100284371e-08,11
2,0.0480652650197347,0.021339057505908966,0.0035331249237060547,0.0017404133103508443,0.5,7,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 7), ('n_estimators', 100)])",-0.11382374962145843,-0.45867401607837227,-0.33284533165285024,-0.30178103245089366,0.1424878230645988,9,-4.6889128216970634e-09,-6.1774093892462065e-09,-4.651067503226099e-09,-5.172463238056456e-09,7.107721820320306e-10,6
3,0.05560914675394694,0.02502430340094218,0.0026192665100097656,0.0019969090312634114,0.5,7,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 7), ('n_estimators', 100)])",-0.11382374962145843,-0.45867401607837227,-0.33284533165285024,-0.30178103245089366,0.1424878230645988,9,-4.6889128216970634e-09,-6.1774093892462065e-09,-4.651067503226099e-09,-5.172463238056456e-09,7.107721820320306e-10,6
4,0.02106324831644694,0.0010602750109326427,0.0010422865549723308,3.436224859417034e-05,1.0,5,100,"OrderedDict([('learning_rate', 1.0), ('max_depth', 5), ('n_estimators', 100)])",-0.2699952224397718,-0.538642743149432,-0.4031617701840481,-0.4039332452577506,0.10967624773609469,15,-1.2475836908169294e-09,-4.6440513749804077e-10,-3.127077884940704e-10,-6.748988722696801e-10,4.0965753784478723e-10,2
5,0.025849580764770508,0.0016093345688924189,0.0010291735331217449,2.321396654325404e-05,0.5,7,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 7), ('n_estimators', 100)])",-0.11382374962145843,-0.45867401607837227,-0.33284533165285024,-0.30178103245089366,0.1424878230645988,9,-4.6889128216970634e-09,-6.1774093892462065e-09,-4.651067503226099e-09,-5.172463238056456e-09,7.107721820320306e-10,6
6,0.06405329704284668,0.0022976496891442813,0.003934780756632487,0.0006449351786370479,1.0,7,100,"OrderedDict([('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 100)])",-0.12355379099169496,-0.5749273627481647,-0.4031617701840481,-0.3672143079746359,0.18601736540714162,13,-3.1745023120220255e-10,-2.733041046615557e-10,-3.127077884940704e-10,-3.0115404145260954e-10,1.9787823278626856e-11,1
7,0.03270347913106283,0.008341643909797157,0.001341422398885091,0.00012808564638476015,0.1,7,50,"OrderedDict([('learning_rate', 0.1), ('max_depth', 7), ('n_estimators', 50)])",-0.04503465605839085,-0.18593666636239795,-0.12735498523044564,-0.11944210255041147,0.057794488844286986,3,-0.0007560787678265787,-0.0007343890971367801,-0.0007546609850407387,-0.0007483762833346992,9.907356199928741e-06,12
8,0.026865323384602863,0.002178906132037643,0.0011960665384928386,0.00015329830540405985,0.5,5,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 5), ('n_estimators', 100)])",-0.017959904824822563,-0.4117377484991616,-0.33284533165285024,-0.25418099499227814,0.17011036797500798,7,-4.160992343052267e-09,-5.670066941393606e-09,-4.651067503226099e-09,-4.8273755958906575e-09,6.285644721607214e-10,4
9,0.08655397097269694,0.01260232067107461,0.002361138661702474,0.00042649475755566644,0.5,7,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 7), ('n_estimators', 100)])",-0.11382374962145843,-0.45867401607837227,-0.33284533165285024,-0.30178103245089366,0.1424878230645988,9,-4.6889128216970634e-09,-6.1774093892462065e-09,-4.651067503226099e-09,-5.172463238056456e-09,7.107721820320306e-10,6
