Trial #,SVC - accuracy,SVC - balanced accuracy,SVC - f1 score,SVC - precision,GradientBoosting - accuracy,GradientBoosting - balanced accuracy,GradientBoosting - f1 score,GradientBoosting - precision,GaussianNB - accuracy,GaussianNB - balanced accuracy,GaussianNB - f1 score,GaussianNB - precision,DecisionTree - accuracy,DecisionTree - balanced accuracy,DecisionTree - f1 score,DecisionTree - precision,KNeighbors - accuracy,KNeighbors - balanced accuracy,KNeighbors - f1 score,KNeighbors - precision,AdaBoost - accuracy,AdaBoost - balanced accuracy,AdaBoost - f1 score,AdaBoost - precision,RandomForest - accuracy,RandomForest - balanced accuracy,RandomForest - f1 score,RandomForest - precision,MLP - accuracy,MLP - balanced accuracy,MLP - f1 score,MLP - precision,QDA - accuracy,QDA - balanced accuracy,QDA - f1 score,QDA - precision,CatBoost - accuracy,CatBoost - balanced accuracy,CatBoost - f1 score,CatBoost - precision,ExtraTrees - accuracy,ExtraTrees - balanced accuracy,ExtraTrees - f1 score,ExtraTrees - precision,Bagging - accuracy,Bagging - balanced accuracy,Bagging - f1 score,Bagging - precision,Ridge - accuracy,Ridge - balanced accuracy,Ridge - f1 score,Ridge - precision,PassiveAggressive - accuracy,PassiveAggressive - balanced accuracy,PassiveAggressive - f1 score,PassiveAggressive - precision,SGDOneClassSVM - accuracy,SGDOneClassSVM - balanced accuracy,SGDOneClassSVM - f1 score,SGDOneClassSVM - precision,Dummy - accuracy,Dummy - balanced accuracy,Dummy - f1 score,Dummy - precision,HistGradientBoosting - accuracy,HistGradientBoosting - balanced accuracy,HistGradientBoosting - f1 score,HistGradientBoosting - precision,XGB - accuracy,XGB - balanced accuracy,XGB - f1 score,XGB - precision,LGBM - accuracy,LGBM - balanced accuracy,LGBM - f1 score,LGBM - precision
71,0.9508196721311475,0.9659090909090908,0.9519455810680497,0.9581967213114755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8360655737704918,0.8434650455927051,0.8449417024633996,0.8706117552978807,1.0,1.0,1.0,1.0,0.7049180327868853,0.847457627118644,0.799076005961252,0.9704918032786886,1.0,1.0,1.0,1.0,0.9672131147540983,0.9545454545454546,0.9668423106947698,0.9688124750099959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5901639344262295,0.35294117647058826,0.654312188168211,0.7341063574570172,0.6721311475409836,0.6721311475409836,0.8039215686274509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9180327868852459,0.8972431077694235,0.9174072819203002,0.917355021815563,1.0,1.0,1.0,1.0,0.7377049180327869,0.743421052631579,0.8028017883755588,0.9236243487101282,1.0,1.0,1.0,1.0,0.9672131147540983,0.95,0.9667406220469207,0.9687380861608845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5081967213114754,0.34444444444444444,0.519746646795827,0.5318337781166603,0.7049180327868853,0.7049180327868853,0.8269230769230769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.9064625850340136,0.9499989200630684,0.9499850968703427,1.0,1.0,1.0,1.0,0.8688524590163934,0.9310344827586207,0.9014658686789834,0.9642324888226528,1.0,1.0,1.0,1.0,0.8852459016393442,0.8055555555555556,0.8757149717050517,0.901311475409836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5737704918032787,0.4166666666666667,0.5238774055595155,0.4819672131147541,0.819672131147541,0.819672131147541,0.9009009009009009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,0.9836065573770492,0.99,0.9838801413997422,0.9849726775956283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344262295081968,0.8962585034013606,0.9344262295081968,0.9344262295081968,1.0,1.0,1.0,1.0,0.819672131147541,0.9083333333333333,0.8868655783981396,0.9849726775956285,1.0,1.0,1.0,1.0,0.9508196721311475,0.9,0.9488639631866552,0.9538307126129141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6065573770491803,0.40217391304347827,0.5874029335634168,0.5694212111073937,0.8032786885245902,0.8032786885245902,0.8909090909090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,0.9836065573770492,0.9883720930232558,0.9837316583700383,0.9844693701466782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8395833333333333,0.8562383913429702,0.8644767656847036,1.0,1.0,1.0,1.0,0.7213114754098361,0.8559322033898304,0.8106599887154993,0.9706643658326143,0.9836065573770492,0.9883720930232558,0.9837316583700383,0.9844693701466782,0.9672131147540983,0.9523809523809523,0.9667932826869252,0.9687743950039032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5901639344262295,0.33962264150943394,0.6584987057808455,0.7447306791569086,0.6885245901639344,0.6885245901639344,0.8155339805825244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,0.9672131147540983,0.9772727272727273,0.9677426187147881,0.9706643658326143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9180327868852459,0.9468085106382979,0.92193997443583,0.9396031061259706,1.0,1.0,1.0,1.0,0.7049180327868853,0.6867816091954022,0.7886140089418776,0.9333579851267514,1.0,1.0,1.0,1.0,0.9836065573770492,0.975,0.9834951407141806,0.9839968774395004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6229508196721312,0.3584905660377358,0.6950819672131149,0.786104605776737,0.6885245901639344,0.6885245901639344,0.8155339805825244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9672131147540983,0.9557971014492754,0.9672131147540983,0.9672131147540983,1.0,1.0,1.0,1.0,0.7868852459016393,0.7697368421052632,0.8371964448763162,0.9272273699215965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7213114754098361,0.3728813559322034,0.810616705698673,0.925160370634355,0.7540983606557377,0.7540983606557377,0.8598130841121495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,0.9836065573770492,0.9893617021276595,0.9838010661512183,0.9846994535519125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344262295081968,0.96,0.9381042454812947,0.9519125683060109,1.0,1.0,1.0,1.0,0.7540983606557377,0.7540983606557377,0.8598130841121495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5901639344262295,0.36,0.6147540983606556,0.6414825374198146,0.7540983606557377,0.7540983606557377,0.8598130841121495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.925,0.9496937631942454,0.9541728763040238,1.0,1.0,1.0,1.0,0.9016393442622951,0.8776737967914439,0.9016393442622951,0.9016393442622951,1.0,1.0,1.0,1.0,0.7868852459016393,0.8859649122807017,0.8391340304990687,0.9498553519768562,1.0,1.0,1.0,1.0,0.9344262295081968,0.9047619047619048,0.9325362586794856,0.9403874813710879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6229508196721312,0.36538461538461536,0.674863387978142,0.736214605067064,0.7213114754098361,0.7213114754098361,0.8380952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8852459016393442,0.8753799392097263,0.8889069682300776,0.8974752345051284,1.0,1.0,1.0,1.0,0.8032786885245902,0.8928571428571428,0.8451266766020865,0.9421407907425265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6229508196721312,0.36538461538461536,0.674863387978142,0.736214605067064,0.7213114754098361,0.7213114754098361,0.8380952380952381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
