,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.2601713339487712,0.08412612567639782,0.002286831537882487,0.000856414057359065,tanh,0.02220878416794463,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.02220878416794463), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.4778172008871099,-0.44820892175129634,-0.46182680138203197,-0.4626176413401461,0.012100457821244488,128,-0.39523463800166053,-0.4187371978270629,-0.4000014708288046,-0.40465776888584265,0.010144075883116447,17
1,0.2920096715291341,0.042470987440222846,0.0017083485921223958,0.0001495886544058108,tanh,0.03486664816578425,constant,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.03486664816578425), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.47697922941836296,-0.45270791879719724,-0.4578437080087768,-0.4625102854081123,0.010443717035783444,127,-0.4012495012893869,-0.40977540420081593,-0.4006423938013331,-0.4038890997638453,0.004169618673135289,13
2,0.2905748685201009,0.03261740306914849,0.0015304088592529297,2.0152599831143037e-05,tanh,0.004296381100248608,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.004296381100248608), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.46875448076731946,-0.44504490342921316,-0.46035074354701283,-0.4580500425811818,0.009815156072406349,117,-0.40042728228840413,-0.4117573928289238,-0.39326646185926384,-0.40181704565886395,0.0076125866694830464,9
3,0.29920490582784015,0.015802182641493554,0.001515785853068034,1.2213507398025278e-05,tanh,0.03785597065394157,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.03785597065394157), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.47538795051740956,-0.45865030711185684,-0.4530639115307264,-0.4623673897199976,0.009485188682240131,126,-0.39734784941969076,-0.4138372702637523,-0.4059124927361624,-0.40569920413986843,0.006733467109007286,21
4,0.22904133796691895,0.043391448365821365,0.0013794898986816406,4.287470553523818e-05,relu,0.011456529971252679,adaptive,sgd,"OrderedDict([('activation', 'relu'), ('alpha', 0.011456529971252679), ('learning_rate', 'adaptive'), ('solver', 'sgd')])",-0.45052357220228756,-0.5438862601203351,-0.45084931382920107,-0.4817530487172746,0.0439350163790792,142,-0.42659956976892005,-0.44551577147587623,-0.42799895157306445,-0.43337143093928693,0.008606328007535214,97
5,0.20832721392313638,0.03790961990134359,0.0014222462972005208,7.597796585358667e-05,relu,0.043308136865948296,adaptive,sgd,"OrderedDict([('activation', 'relu'), ('alpha', 0.043308136865948296), ('learning_rate', 'adaptive'), ('solver', 'sgd')])",-0.44299129807131254,-0.5222759870342252,-0.4425668761832248,-0.46927805376292087,0.03747559856543981,137,-0.42838039493673213,-0.4404464671595457,-0.423710043258817,-0.43084563511836493,0.007051478715421969,42
6,0.24123565355936685,0.044042135445929644,0.002397616704305013,0.0013010641645867774,tanh,0.024286580461813985,constant,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.024286580461813985), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.46521544754941646,-0.4492124445241824,-0.453894770007197,-0.456107554026932,0.00671795287742272,115,-0.3992786249564876,-0.41411570845292844,-0.41219297938175986,-0.4085291042637253,0.006588006644932089,25
7,0.27954737345377606,0.0038877389459170517,0.004045009613037109,0.0017570895225523422,relu,0.02892591332325954,constant,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.02892591332325954), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.47506509371858996,-0.5060729281549651,-0.48752542607335647,-0.48955448264897045,0.012739943800208186,145,-0.3295859279418697,-0.36837407468952854,-0.3127423041216671,-0.33690076891768844,0.02329311268744378,4
8,0.28123243649800617,0.0501365849253973,0.0016734600067138672,0.00015026499996195257,tanh,0.036950260887619865,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.036950260887619865), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.46956725583247455,-0.4578290744953294,-0.4554368132448712,-0.4609443811908917,0.006175014374393544,121,-0.40195678769948406,-0.41080984046951674,-0.4032030667900816,-0.40532323165302747,0.003912838707110946,20
9,0.1958157221476237,0.06074083639537959,0.0014437039693196614,3.0174370243150177e-05,relu,0.04256598520342399,constant,sgd,"OrderedDict([('activation', 'relu'), ('alpha', 0.04256598520342399), ('learning_rate', 'constant'), ('solver', 'sgd')])",-0.451090844366758,-0.5425249637715244,-0.44811401339228185,-0.48057660717685474,0.04382095803188174,140,-0.43169972055453615,-0.43494689586228297,-0.4270462877289797,-0.43123096804859956,0.0032423961204507247,49
10,0.19544498125712076,0.07931806541211008,0.0015570322672526042,0.0001207677901907806,tanh,0.0001,constant,sgd,"OrderedDict([('activation', 'tanh'), ('alpha', 0.0001), ('learning_rate', 'constant'), ('solver', 'sgd')])",-0.449151050459858,-0.4323618367873918,-0.45939426510626463,-0.4469690507845048,0.011143275614802566,75,-0.4311578091759885,-0.4346734361979897,-0.4320946203375776,-0.43264195523718535,0.0014865149306801798,77
