,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,2.893726428349813,0.331882772992191,0.026970704396565754,0.027871814883617976,relu,0.002775916824373937,constant,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.002775916824373937), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.6062749527762232,-0.49767811511249316,-0.5768520892705862,-0.5602683857197676,0.045859079110078894,15,-0.4016264848422791,-0.4431099823921586,-0.41300893365144264,-0.4192484669619601,0.01750083758362263,1
1,4.380966027577718,0.657070411167759,0.06978344917297363,0.03289791351457619,relu,0.010763010188846935,constant,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.010763010188846935), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.6106920208592738,-0.48482084084921157,-0.5615337143679175,-0.5523488586921342,0.05179549317344188,14,-0.4001685292031551,-0.44886990728355214,-0.4221496107041225,-0.4237293490636099,0.019913609026589014,2
2,4.802104314168294,2.117758773328543,0.026569286982218426,0.002808594638358254,relu,0.02488974021047387,constant,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.02488974021047387), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.5930116099524687,-0.47718088920887036,-0.5479836942193061,-0.539392064460215,0.04767634664019004,11,-0.40923052266676074,-0.448457076413262,-0.4256446160486347,-0.4277774050428858,0.01608502867839712,3
3,6.315533399581909,1.1937097294169967,0.017139196395874023,0.0058672023628386786,tanh,0.04481988631867366,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.04481988631867366), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.54810536547231,-0.4816031539784825,-0.5305043991910801,-0.5200709728806242,0.02813394535460944,8,-0.46539817240297887,-0.49365485583444996,-0.46906387811998485,-0.4760389687858046,0.012545887958049498,7
4,4.172081311543782,2.144186817084186,0.01111443837483724,0.00226019184403559,tanh,0.01139993454509829,constant,sgd,"OrderedDict([('activation', 'tanh'), ('alpha', 0.01139993454509829), ('learning_rate', 'constant'), ('solver', 'sgd')])",-0.5277882135605263,-0.4925945301625409,-0.5282545756944345,-0.5162124398058339,0.016701469303608184,1,-0.4968726404958708,-0.5165925259383317,-0.4914336375624797,-0.5016329346655607,0.010808568098616123,12
5,3.322503646214803,1.249188055698046,0.01320648193359375,0.006913741168832949,tanh,0.03075551353103678,constant,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.03075551353103678), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.5402726243427293,-0.4813100465317544,-0.5345450177515882,-0.518709229542024,0.026548390242378758,5,-0.4695316162273022,-0.4931761094825993,-0.46571415488640455,-0.47614062686543535,0.012146302695939578,8
6,2.0463756720225015,0.07812348255261178,0.0050707658131917315,0.0022298853956494347,relu,0.026452130030735207,constant,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.026452130030735207), ('learning_rate', 'constant'), ('solver', 'adam')])",-0.5806422169938086,-0.4958575009874415,-0.5508769903876051,-0.5424589027896184,0.03512131514408889,12,-0.43327411193981036,-0.45521583839349655,-0.42787254344006337,-0.43878749792445676,0.011824043681961,5
7,1.2295763492584229,0.6055032421679112,0.009504556655883789,0.009741837205268469,relu,0.00354091500028385,constant,sgd,"OrderedDict([('activation', 'relu'), ('alpha', 0.00354091500028385), ('learning_rate', 'constant'), ('solver', 'sgd')])",-0.5412794246247008,-0.48066438311736837,-0.5447469544348388,-0.5222302540589693,0.029425580267248414,9,-0.49430602007711544,-0.5207719702672391,-0.49077251223664947,-0.5019501675270014,0.013386974096958949,14
8,0.677596648534139,0.08742687461163226,0.0033756891886393228,0.0012377583498199465,tanh,0.03624293942133655,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.03624293942133655), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.5476283787071425,-0.47817228102139614,-0.5302326151311072,-0.5186777582865486,0.02950902024756349,4,-0.4650636242782866,-0.4919395927116406,-0.4729771966224438,-0.47666013787079037,0.011276892656718851,9
9,0.6443508466084799,0.30540203623979567,0.0037514368693033853,0.0015723511619393784,tanh,0.018186228152389818,adaptive,sgd,"OrderedDict([('activation', 'tanh'), ('alpha', 0.018186228152389818), ('learning_rate', 'adaptive'), ('solver', 'sgd')])",-0.5358982148323609,-0.4837433154449794,-0.5357810408402123,-0.5184741903725175,0.02455848376644795,3,-0.49166072295880325,-0.513970782770543,-0.4904293081000997,-0.4986869379431486,0.01081899656990611,10
10,0.5595555305480957,0.07193535586997839,0.0026512940724690757,0.001726644999424915,relu,0.05,adaptive,sgd,"OrderedDict([('activation', 'relu'), ('alpha', 0.05), ('learning_rate', 'adaptive'), ('solver', 'sgd')])",-0.5442363836678555,-0.47788573314933364,-0.5576769894168752,-0.5265997020780214,0.03488027663607821,10,-0.5026187465341801,-0.5357149063650782,-0.4948423104839191,-0.5110586544610591,0.017721292426095478,15
11,0.492568572362264,0.028413894471673112,0.0033113956451416016,0.0013409975009189708,tanh,0.0002946920993549255,adaptive,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.0002946920993549255), ('learning_rate', 'adaptive'), ('solver', 'adam')])",-0.5494918050675492,-0.47953167723603873,-0.5310656411302527,-0.5200297078112802,0.029607980227363568,7,-0.464079953838222,-0.4916014788893629,-0.4691255955366025,-0.4749356760880625,0.011963175785049282,6
