,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.09110649426778157,0.017752927431546675,0.007956981658935547,0.0021893409996979547,SAMME,1.0,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 1.0), ('n_estimators', 100)])",-0.599996050295623,-0.5942285017462867,-0.6276079828307743,-0.607277511624228,0.01456736532292633,10,-0.5813175906945072,-0.5887154274682133,-0.5760100561281932,-0.5820143580969712,0.005210292943255238,10
1,0.0769033432006836,0.001270092851202408,0.008003552754720053,0.0007606796317762873,SAMME.R,1.0,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 1.0), ('n_estimators', 100)])",-0.6375275562031151,-0.6563973304759118,-0.6549176324304311,-0.6496141730364859,0.00856785101154284,15,-0.6315145937283575,-0.6508759206815392,-0.6063769519224848,-0.6295891554441272,0.01821757465735786,15
2,0.08074386914571126,0.0013789265830705328,0.009261528650919596,0.0013693542303924383,SAMME.R,0.5,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.6384998405501386,-0.6511351895672102,-0.6503348051814234,-0.6466566117662573,0.0057769565975711035,14,-0.631791723832033,-0.6477253849496338,-0.6054951680438709,-0.6283374256085126,0.01741258045474991,14
3,0.07798210779825847,0.002305176499212903,0.007058858871459961,0.0003798302048183147,SAMME,0.5,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.5754988275775711,-0.5562519344469813,-0.6046199695505026,-0.5787902438583516,0.01988285309496447,6,-0.5503851986891567,-0.5610105439015485,-0.5543642298785783,-0.5552533241564278,0.004383100629828374,6
4,0.1306471824645996,0.06732522776156105,0.007295767466227214,0.0005614529688523251,SAMME,0.5,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.5754988275775711,-0.5562519344469813,-0.6046199695505026,-0.5787902438583516,0.01988285309496447,6,-0.5503851986891567,-0.5610105439015485,-0.5543642298785783,-0.5552533241564278,0.004383100629828374,6
5,0.03886636098225912,0.0008336300608376769,0.0046539306640625,0.0004077092943681168,SAMME.R,0.5,50,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.6032378830277099,-0.6201061306097131,-0.6375350498212261,-0.6202930211528831,0.01400238333455923,12,-0.5903998078607573,-0.6197270931672436,-0.5701194703562453,-0.5934154571280821,0.020364178772495047,12
6,0.1061253547668457,0.010126990590559014,0.007570505142211914,0.0009170410437893923,SAMME,1.0,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 1.0), ('n_estimators', 100)])",-0.599996050295623,-0.5942285017462867,-0.6276079828307743,-0.607277511624228,0.01456736532292633,10,-0.5813175906945072,-0.5887154274682133,-0.5760100561281932,-0.5820143580969712,0.005210292943255238,10
7,0.08631555239359538,0.007200142721671925,0.011766751607259115,0.006736246941426085,SAMME,0.1,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.5458140776321301,-0.526600759581162,-0.5792781618086803,-0.5505643330073241,0.021766195058042136,2,-0.5183421039755679,-0.538628979205688,-0.5373367582259833,-0.5314359471357464,0.009273762461648157,2
8,0.09164889653523763,0.015122111731517377,0.008467674255371094,0.0010295891689611368,SAMME.R,0.1,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.6141871163591432,-0.6150678140271375,-0.6332279623532456,-0.6208276309131754,0.008775726825104847,13,-0.6048072695851155,-0.6163338421468771,-0.5685019584652684,-0.5965476900657537,0.020381981658812165,13
9,0.13316702842712402,0.024599268934277843,0.009560028711954752,0.0016638258849059834,SAMME,0.1,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.5458140776321301,-0.526600759581162,-0.5792781618086803,-0.5505643330073241,0.021766195058042136,2,-0.5183421039755679,-0.538628979205688,-0.5373367582259833,-0.5314359471357464,0.009273762461648157,2
10,0.08000556627909343,0.024808829897600315,0.005085388819376628,0.0020236349655638947,SAMME,0.1,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 50)])",-0.5455233037495376,-0.5288969712781585,-0.5709805127045695,-0.5484669292440886,0.017306161003839853,1,-0.5111051722223441,-0.5394916235994998,-0.5369177290977295,-0.5291715083065244,0.012817971962742493,1
11,0.15241718292236328,0.024790853988259573,0.011681636174519857,0.0016674089917754532,SAMME,0.1,200,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 200)])",-0.5524175819743083,-0.53227572382155,-0.5915977991541624,-0.5587637016500069,0.02463036177357468,4,-0.5268905218412713,-0.5459249713850668,-0.5446661682814807,-0.5391605538359396,0.00869142911823818,5
12,0.0666350523630778,0.019060785301009155,0.006961822509765625,0.0023140778653546966,SAMME,0.5,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.5600031465379834,-0.5346415351656519,-0.5891234732081382,-0.5612560516372579,0.02225979517137221,5,-0.5290391102932986,-0.5458260985138952,-0.5418930135422507,-0.5389194074498148,0.0071685653271460386,4
