,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.02307860056559245,0.0015534960700660534,0.0031856695810953775,0.00033061853948376395,1.0,auto,rbf,"OrderedDict([('C', 1.0), ('gamma', 'auto'), ('kernel', 'rbf')])",-0.5912257556879896,-0.5969380968871418,-0.5959450072349458,-0.5947029532700258,0.0024919515822895556,9,-0.5500068381707147,-0.5909041033417866,-0.5613977670406559,-0.5674362361843857,0.017233570085119224,2
1,0.022248109181722004,0.001393285882679883,0.0028983751932779946,0.00010849142775959539,10.0,auto,poly,"OrderedDict([('C', 10.0), ('gamma', 'auto'), ('kernel', 'poly')])",-0.5893026921100052,-0.5755097444798375,-0.5982331437750167,-0.5876818601216197,0.009347318372416322,2,-0.571477098136963,-0.5800301765634318,-0.5830039370181487,-0.5781704039061811,0.004886107476011024,9
2,0.024543205897013348,0.0011512671122924742,0.004174868265787761,0.0005858242328972873,1.0,auto,rbf,"OrderedDict([('C', 1.0), ('gamma', 'auto'), ('kernel', 'rbf')])",-0.5896402918043548,-0.5966405911048653,-0.605717501169318,-0.5973327946928461,0.006581718346887068,10,-0.5214353281417916,-0.589959427818858,-0.5972144027172219,-0.5695363862259571,0.034141299592587035,4
3,0.019043127695719402,0.0011674803886501102,0.0031348069508870444,0.00040648987231735935,10.0,scale,poly,"OrderedDict([('C', 10.0), ('gamma', 'scale'), ('kernel', 'poly')])",-0.7831625850938407,-0.754984116011925,-0.6328148877963252,-0.7236538629673636,0.06525486488910757,15,-0.5789860987749705,-0.581899583471289,-0.5453439519089585,-0.5687432113850727,0.016588472027119938,3
4,0.18333681424458823,0.022397222422703963,0.003113428751627604,0.000524762355722903,100.0,auto,linear,"OrderedDict([('C', 100.0), ('gamma', 'auto'), ('kernel', 'linear')])",-0.5641287534207208,-0.6025110206915412,-0.6080776778970388,-0.5915724840031001,0.0195382646673914,7,-0.5128297671857983,-0.6072716164867548,-0.604425664403494,-0.5748423493586824,0.043864907170588927,6
5,0.01666863759358724,0.0007439227758353418,0.002588033676147461,8.652350062024183e-05,100.0,auto,sigmoid,"OrderedDict([('C', 100.0), ('gamma', 'auto'), ('kernel', 'sigmoid')])",-0.6872838906940308,-0.5923604376908429,-0.586216750341751,-0.6219536929088749,0.046263464926775945,12,-0.6111726810426823,-0.6026917796768045,-0.596069218255219,-0.603311226324902,0.006181501039685626,15
6,0.03651881217956543,0.002324778629945788,0.002764145533243815,0.00020404715152571405,10.0,scale,linear,"OrderedDict([('C', 10.0), ('gamma', 'scale'), ('kernel', 'linear')])",-0.5613994488084957,-0.6025281488034008,-0.6080969802782069,-0.5906748592967012,0.020825308568156436,6,-0.5096425963330414,-0.607274760590211,-0.6045393989475937,-0.5738189186236154,0.045393250657534905,5
7,0.02227131525675456,0.0006026744236794202,0.005208651224772136,0.0014114949382069463,0.1,scale,rbf,"OrderedDict([('C', 0.1), ('gamma', 'scale'), ('kernel', 'rbf')])",-0.5811169458120491,-0.5931624190747281,-0.5958035131442744,-0.5900276260103504,0.006392391866813188,3,-0.5451125260160878,-0.5866409941959504,-0.5542787543262083,-0.5620107581794155,0.017813690054393042,1
8,0.0301663875579834,0.012884560515393514,0.007840633392333984,0.0037266708537074473,0.1,scale,poly,"OrderedDict([('C', 0.1), ('gamma', 'scale'), ('kernel', 'poly')])",-0.7905933602639703,-0.5881623680626102,-0.6103208212285015,-0.6630255165183607,0.09065655089440385,14,-0.5826865678457932,-0.5880229210173642,-0.5597764598681405,-0.5768286495770993,0.012252946494501479,8
9,0.0395054817199707,0.019637073752490512,0.006104787190755208,0.004393152099850258,10.0,auto,poly,"OrderedDict([('C', 10.0), ('gamma', 'auto'), ('kernel', 'poly')])",-0.5859146135565475,-0.5871454420942649,-0.5978004514819012,-0.5902868357109045,0.005336637592338597,4,-0.5805656225741672,-0.5931227277256821,-0.5754917038394614,-0.5830600180464369,0.007410792013371718,12
10,0.02482430140177409,0.0033980159777104017,0.004347006479899089,0.0014534435701189022,1.0,auto,poly,"OrderedDict([('C', 1.0), ('gamma', 'auto'), ('kernel', 'poly')])",-0.7067239039258939,-0.5925101914825774,-0.6015763823247358,-0.6336034925777357,0.05183624774800935,13,-0.5830684235511767,-0.5996995892080772,-0.5899595909183504,-0.5909092012258681,0.0068227676485389434,13
11,0.026827255884806316,0.0037788306428246316,0.004596789677937825,0.0009185776282220694,1.0,scale,rbf,"OrderedDict([('C', 1.0), ('gamma', 'scale'), ('kernel', 'rbf')])",-0.5859108991953426,-0.592230945214444,-0.6026401159020299,-0.5935939867706055,0.006897346572786491,8,-0.5583211927288634,-0.58225076402327,-0.5850116495503984,-0.5751945354341773,0.011984375738482834,7
12,0.6880411307017008,0.6844333143658194,0.0058977603912353516,0.0038834072271123296,100.0,scale,linear,"OrderedDict([('C', 100.0), ('gamma', 'scale'), ('kernel', 'linear')])",-0.5610155210674059,-0.602621692093028,-0.608103102246713,-0.5905801051357157,0.02102474633485257,5,-0.5249483506596448,-0.607300814904343,-0.6044927701159477,-0.5789139785599785,0.03817667721608191,10
