,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_thread_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.08117413520812988,0.001834716752525125,0.0014355182647705078,1.2689304859856672e-05,64,7,100,5,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5740950140709316,-0.5052195038972995,-0.58241181970643,-0.553908779224887,0.03459553403681733,9,-0.11644532787815182,-0.12559490488978914,-0.13915623141288558,-0.1270654880602755,0.00932981764691336,5
1,0.020159085591634113,0.001370260657645114,0.0012967586517333984,4.7013016365241985e-05,64,5,50,5,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 5), ('iterations', 50), ('l2_leaf_reg', 5), ('learning_rate', 1.0), ('thread_count', -1)])",-0.6230508371874598,-0.5970190090350117,-0.5577660426506289,-0.5926119629577001,0.026833966544595633,11,-0.14515246276701121,-0.18355563853032428,-0.15580028737807505,-0.16150279622513686,0.016188265967259384,7
2,0.04364919662475586,0.0006982176184308789,0.001336971918741862,6.472038609664386e-06,64,7,50,3,0.1,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 50), ('l2_leaf_reg', 3), ('learning_rate', 0.1), ('thread_count', -1)])",-0.5439598422808444,-0.505970585708979,-0.5168557374998718,-0.5222620551632318,0.01597325069668292,1,-0.38747490191191303,-0.41532532670024985,-0.40585098426749533,-0.4028837376265528,0.011561861288847928,14
3,0.03784815470377604,0.002129028539143278,0.0013823509216308594,4.4845936882932455e-05,64,5,100,5,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 5), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5699001426700077,-0.5200476733179407,-0.5657847939628384,-0.5519108699835956,0.022593236451956916,8,-0.1582207116874265,-0.17910579808904228,-0.19656706869691395,-0.17796452615779423,0.015675621203864256,8
4,0.19796578089396158,0.0011907548759857258,0.0015853246053059895,0.00010104173256523833,64,9,100,9,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 9), ('iterations', 100), ('l2_leaf_reg', 9), ('learning_rate', 1.0), ('thread_count', -1)])",-0.6355564053298111,-0.5346833393522161,-0.6509977697969219,-0.6070791714929831,0.05157826620885398,12,-0.0781783659154902,-0.0787763214983956,-0.07039386095913878,-0.07578284945767487,0.0038184015414653564,4
5,0.07899785041809082,0.002134745264620191,0.001436789830525716,2.467321933306511e-05,64,7,100,5,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5740950140709316,-0.5052195038972995,-0.58241181970643,-0.553908779224887,0.03459553403681733,9,-0.11644532787815182,-0.12559490488978914,-0.13915623141288558,-0.1270654880602755,0.00932981764691336,5
6,0.029304901758829754,0.0007806241375739718,0.0013465086619059246,2.3850068691823023e-05,32,7,50,3,0.1,-1,"OrderedDict([('border_count', 32), ('depth', 7), ('iterations', 50), ('l2_leaf_reg', 3), ('learning_rate', 0.1), ('thread_count', -1)])",-0.5492321079168445,-0.5052306454785069,-0.5294607293466844,-0.5279744942473453,0.01799423695253546,2,-0.3888614548874931,-0.4017387419810694,-0.4027493834058474,-0.3977831934248033,0.006322099488749191,12
7,0.09476447105407715,0.004737530102538595,0.0015927950541178386,9.129186835189463e-05,32,5,200,3,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 5), ('iterations', 200), ('l2_leaf_reg', 3), ('learning_rate', 0.5), ('thread_count', -1)])",-1.0587022805039292,-0.9193735339554113,-0.8333090998409006,-0.937128304766747,0.09286888746066128,15,-0.0041483116805741274,-0.004485832680477457,-0.004554928295535665,-0.00439635755219575,0.0001776487486145358,2
8,0.014450391133626303,0.0009619953083541637,0.0015745162963867188,8.709558289682151e-05,64,3,50,9,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 3), ('iterations', 50), ('l2_leaf_reg', 9), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5371413558978322,-0.514841788432545,-0.5618738429295144,-0.5379523290866306,0.019209317108913337,5,-0.3758187570979138,-0.41381606825956024,-0.40926909835951897,-0.3996346412389977,0.01694237265721891,13
9,0.35916757583618164,0.03648674889524039,0.0017387072245279949,0.00010966085519073254,32,9,200,5,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 9), ('iterations', 200), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.8575813923792347,-0.7689070572222507,-0.8369914162286389,-0.8211599552767082,0.03789248646532858,14,-0.0044237261024862445,-0.003757161902043944,-0.003757835767355702,-0.003979574590628631,0.0003140626663981441,1
