,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_param,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.00686192512512207,0.0032876214586346243,0.0030593077341715493,0.0020449947610382143,1.0,1e-05,"OrderedDict([('reg_param', 1.0), ('tol', 1e-05)])",-15.600640641106196,-15.081493549945094,-14.59451879064713,-15.09221766056614,0.41081751780586045,22,-14.81995681084839,-15.062124351250622,-15.408344518323458,-15.096808560140824,0.24145706221009686,22
1,0.0049895445505778,0.00032405826219204776,0.0036638577779134116,0.00191717671807815,0.0,1e-06,"OrderedDict([('reg_param', 0.0), ('tol', 1e-06)])",-1.3553883287653097,-9.634901463063525,-5.209823908148905,-5.400037899992579,3.38277208388564,20,-0.8501223554401847,-8.080637077470097,-3.875458926492624,-4.268739453134302,2.964915734142596,20
2,0.008597771326700846,0.003014756347477669,0.0038182735443115234,0.002087069786446067,0.1,1e-06,"OrderedDict([('reg_param', 0.1), ('tol', 1e-06)])",-0.38113290785668974,-0.4108535476789638,-0.31432272059671007,-0.3687697253774545,0.04036654022873519,13,-0.2774854454509404,-0.2632653408752277,-0.3048983831623816,-0.2818830564961832,0.017278730464551265,1
3,0.00632786750793457,0.002780833388138092,0.004067420959472656,0.0013265178803913537,1.0,1e-06,"OrderedDict([('reg_param', 1.0), ('tol', 1e-06)])",-15.600640641106196,-15.081493549945094,-14.59451879064713,-15.09221766056614,0.41081751780586045,22,-14.81995681084839,-15.062124351250622,-15.408344518323458,-15.096808560140824,0.24145706221009686,22
4,0.0062100887298583984,0.0008424349023081476,0.004831075668334961,0.004855054097202277,1.0,1e-07,"OrderedDict([('reg_param', 1.0), ('tol', 1e-07)])",-15.600640641106196,-15.081493549945094,-14.59451879064713,-15.09221766056614,0.41081751780586045,22,-14.81995681084839,-15.062124351250622,-15.408344518323458,-15.096808560140824,0.24145706221009686,22
5,0.0055980682373046875,0.0005304154165791023,0.0025332768758138022,0.0015810227122916175,0.5,1e-05,"OrderedDict([('reg_param', 0.5), ('tol', 1e-05)])",-0.3826537385260665,-0.3766395998715848,-0.3368951309154422,-0.3653961564376978,0.020302279146342698,1,-0.32389624732060573,-0.312111243417916,-0.3327447522345891,-0.3229174143243703,0.008451982294027082,8
6,0.005289236704508464,0.0006720238455972794,0.0022802352905273438,0.0010985257224312907,0.5,1e-05,"OrderedDict([('reg_param', 0.5), ('tol', 1e-05)])",-0.3826537385260665,-0.3766395998715848,-0.3368951309154422,-0.3653961564376978,0.020302279146342698,1,-0.32389624732060573,-0.312111243417916,-0.3327447522345891,-0.3229174143243703,0.008451982294027082,8
7,0.0077283382415771484,0.001335624894904799,0.0017269452412923176,0.0002698972264427391,0.1,1e-06,"OrderedDict([('reg_param', 0.1), ('tol', 1e-06)])",-0.38113290785668974,-0.4108535476789638,-0.31432272059671007,-0.3687697253774545,0.04036654022873519,13,-0.2774854454509404,-0.2632653408752277,-0.3048983831623816,-0.2818830564961832,0.017278730464551265,1
8,0.005162636439005534,4.8762023616805355e-05,0.002458810806274414,0.0015623367378991833,0.0,1e-06,"OrderedDict([('reg_param', 0.0), ('tol', 1e-06)])",-1.3553883287653097,-9.634901463063525,-5.209823908148905,-5.400037899992579,3.38277208388564,20,-0.8501223554401847,-8.080637077470097,-3.875458926492624,-4.268739453134302,2.964915734142596,20
9,0.008062283198038736,0.0027939866039203357,0.003461122512817383,0.002819149273414012,0.1,1e-07,"OrderedDict([('reg_param', 0.1), ('tol', 1e-07)])",-0.38113290785668974,-0.4108535476789638,-0.31432272059671007,-0.3687697253774545,0.04036654022873519,13,-0.2774854454509404,-0.2632653408752277,-0.3048983831623816,-0.2818830564961832,0.017278730464551265,1
10,0.0048550764719645185,0.000941554107452512,0.003499587376912435,0.0015046839292417419,0.5,1e-06,"OrderedDict([('reg_param', 0.5), ('tol', 1e-06)])",-0.3826537385260665,-0.3766395998715848,-0.3368951309154422,-0.3653961564376978,0.020302279146342698,1,-0.32389624732060573,-0.312111243417916,-0.3327447522345891,-0.3229174143243703,0.008451982294027082,8
11,0.01794322331746419,0.0035706253950953276,0.0033566951751708984,0.0024957741662638027,0.5,1e-07,"OrderedDict([('reg_param', 0.5), ('tol', 1e-07)])",-0.3826537385260665,-0.3766395998715848,-0.3368951309154422,-0.3653961564376978,0.020302279146342698,1,-0.32389624732060573,-0.312111243417916,-0.3327447522345891,-0.3229174143243703,0.008451982294027082,8
12,0.006890455881754558,0.0024255768490956467,0.0014758904774983723,0.00013092086919302943,0.1,1e-05,"OrderedDict([('reg_param', 0.1), ('tol', 1e-05)])",-0.38113290785668974,-0.4108535476789638,-0.31432272059671007,-0.3687697253774545,0.04036654022873519,13,-0.2774854454509404,-0.2632653408752277,-0.3048983831623816,-0.2818830564961832,0.017278730464551265,1
13,0.008450984954833984,0.0034965698079451103,0.004735867182413737,0.0030962284828435437,0.5,1e-07,"OrderedDict([('reg_param', 0.5), ('tol', 1e-07)])",-0.3826537385260665,-0.3766395998715848,-0.3368951309154422,-0.3653961564376978,0.020302279146342698,1,-0.32389624732060573,-0.312111243417916,-0.3327447522345891,-0.3229174143243703,0.008451982294027082,8
