Trial #,SVC - accuracy,SVC - balanced accuracy,SVC - f1 score,SVC - jaccard score,GradientBoosting - accuracy,GradientBoosting - balanced accuracy,GradientBoosting - f1 score,GradientBoosting - jaccard score,GaussianNB - accuracy,GaussianNB - balanced accuracy,GaussianNB - f1 score,GaussianNB - jaccard score,DecisionTree - accuracy,DecisionTree - balanced accuracy,DecisionTree - f1 score,DecisionTree - jaccard score,KNeighbors - accuracy,KNeighbors - balanced accuracy,KNeighbors - f1 score,KNeighbors - jaccard score,AdaBoost - accuracy,AdaBoost - balanced accuracy,AdaBoost - f1 score,AdaBoost - jaccard score,RandomForest - accuracy,RandomForest - balanced accuracy,RandomForest - f1 score,RandomForest - jaccard score,MLP - accuracy,MLP - balanced accuracy,MLP - f1 score,MLP - jaccard score,QuadraticDiscriminantAnalysis - accuracy,QuadraticDiscriminantAnalysis - balanced accuracy,QuadraticDiscriminantAnalysis - f1 score,QuadraticDiscriminantAnalysis - jaccard score,CatBoost - accuracy,CatBoost - balanced accuracy,CatBoost - f1 score,CatBoost - jaccard score,ExtraTrees - accuracy,ExtraTrees - balanced accuracy,ExtraTrees - f1 score,ExtraTrees - jaccard score,Bagging - accuracy,Bagging - balanced accuracy,Bagging - f1 score,Bagging - jaccard score,Ridge - accuracy,Ridge - balanced accuracy,Ridge - f1 score,Ridge - jaccard score,PassiveAggressive - accuracy,PassiveAggressive - balanced accuracy,PassiveAggressive - f1 score,PassiveAggressive - jaccard score,SGDOneClassSVM - accuracy,SGDOneClassSVM - balanced accuracy,SGDOneClassSVM - f1 score,SGDOneClassSVM - jaccard score,Dummy - accuracy,Dummy - balanced accuracy,Dummy - f1 score,Dummy - jaccard score,HistGradientBoosting - accuracy,HistGradientBoosting - balanced accuracy,HistGradientBoosting - f1 score,HistGradientBoosting - jaccard score
86,0.9836065573770492,0.9891304347826086,0.9837808938813698,0.9682377049180327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016393442622951,0.8860182370820668,0.903848895224519,0.8291513326642131,1.0,1.0,1.0,1.0,0.7704918032786885,0.8813559322033898,0.8442973238055205,0.7418032786885246,1.0,1.0,1.0,1.0,0.9836065573770492,0.9705882352941176,0.9834502698750258,0.9675774134790528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6885245901639344,0.3684210526315789,0.7695274831243972,0.6540983606557377,0.7377049180327869,0.7377049180327869,0.8490566037735848,0.7377049180327869,1.0,1.0,1.0,1.0
87,0.9672131147540983,0.9743589743589743,0.9674944667441947,0.9371584699453551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7868852459016393,0.7774599542334095,0.7877316591094059,0.6525583705911575,1.0,1.0,1.0,1.0,0.6065573770491803,0.6065573770491803,0.7551020408163265,0.6065573770491803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5573770491803278,0.3148148148148148,0.6615024319942353,0.5280414150129422,0.6065573770491803,0.6065573770491803,0.7551020408163265,0.6065573770491803,1.0,1.0,1.0,1.0
88,0.9836065573770492,0.9886363636363636,0.9837465342270316,0.9681238615664846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016393442622951,0.9110942249240122,0.9056010928961747,0.8312122519413288,1.0,1.0,1.0,1.0,0.6885245901639344,0.35,0.802164571064778,0.6772373018005912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39344262295081966,0.32432432432432434,0.36393442622950817,0.2599531615925058,0.7049180327868853,0.7049180327868853,0.8269230769230769,0.7049180327868853,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344262295081968,0.932370820668693,0.9358992634830126,0.8817904210864672,1.0,1.0,1.0,1.0,0.7377049180327869,0.6271929824561404,0.8009643201542912,0.6883084807508258,1.0,1.0,1.0,1.0,0.9836065573770492,0.9705882352941176,0.9834502698750258,0.9675774134790528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639344262295082,0.38235294117647056,0.6793032786885246,0.5720448662640207,0.7377049180327869,0.7377049180327869,0.8490566037735848,0.7377049180327869,1.0,1.0,1.0,1.0
90,0.9836065573770492,0.9886363636363636,0.9837465342270316,0.9681238615664846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9180327868852459,0.9479166666666667,0.9223911994932619,0.8588342440801456,1.0,1.0,1.0,1.0,0.7049180327868853,0.7049180327868853,0.8269230769230769,0.7049180327868853,1.0,1.0,1.0,1.0,0.9672131147540983,0.95,0.9667406220469207,0.9359512009149829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639344262295082,0.3979591836734694,0.6810406272273699,0.5910918651407361,0.7049180327868853,0.7049180327868853,0.8269230769230769,0.7049180327868853,1.0,1.0,1.0,1.0
91,0.9344262295081968,0.9555555555555555,0.9365442453509553,0.881967213114754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819672131147541,0.8293269230769231,0.8317062688033401,0.720327868852459,1.0,1.0,1.0,1.0,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,0.9672131147540983,0.9767441860465116,0.9676856074612763,0.9377049180327869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6229508196721312,0.3275862068965517,0.7299221725451233,0.5923138941144853,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8852459016393442,0.9222222222222223,0.8907053181198945,0.8054169636493229,1.0,1.0,1.0,1.0,0.639344262295082,0.8166666666666667,0.7641630422660868,0.623663578047042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4262295081967213,0.30952380952380953,0.4475409836065575,0.331511839708561,0.6229508196721312,0.6229508196721312,0.7676767676767677,0.6229508196721312,1.0,1.0,1.0,1.0
93,0.9836065573770492,0.9886363636363636,0.9837465342270316,0.9681238615664846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9672131147540983,0.9777777777777779,0.9678048566669588,0.9380692167577414,1.0,1.0,1.0,1.0,0.7540983606557377,0.8706896551724138,0.823660351983676,0.7131147540983607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5737704918032787,0.35714285714285715,0.6111903064861013,0.4932412999712396,0.7049180327868853,0.7049180327868853,0.8269230769230769,0.7049180327868853,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688524590163934,0.8615288220551378,0.8705317872850861,0.7737704918032786,1.0,1.0,1.0,1.0,0.6721311475409836,0.8333333333333333,0.7883755588673622,0.6565183450429353,1.0,1.0,1.0,1.0,0.9672131147540983,0.9761904761904762,0.9676329468212715,0.9375487900078064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6065573770491803,0.3490566037735849,0.6913449673893884,0.574063231850117,0.6557377049180327,0.6557377049180327,0.7920792079207921,0.6557377049180327,1.0,1.0,1.0,1.0
95,0.9672131147540983,0.9767441860465116,0.9676856074612763,0.9377049180327869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8435828877005347,0.8558367432041492,0.752824494623982,1.0,1.0,1.0,1.0,0.7213114754098361,0.853448275862069,0.8003772579681346,0.6795081967213116,0.9836065573770492,0.9880952380952381,0.9837179740399175,0.9680327868852459,0.9836065573770492,0.9761904761904762,0.9835078314353272,0.9676129548180727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5409836065573771,0.3235294117647059,0.5997861724875266,0.4676298971936649,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,1.0,1.0,1.0,1.0
96,0.9508196721311475,0.9583333333333333,0.9511424306405413,0.9069086651053864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.8761904761904762,0.8559237753039686,0.7492175543575673,1.0,1.0,1.0,1.0,0.5573770491803278,0.775,0.6991739455497001,0.5415690866510539,0.9672131147540983,0.9714285714285714,0.9673381192185435,0.9367681498829039,0.9672131147540983,0.9666666666666667,0.9671601187111364,0.9364133134624939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4918032786885246,0.2727272727272727,0.6147540983606558,0.4663651780667044,0.5409836065573771,0.5409836065573771,0.7021276595744682,0.5409836065573771,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9016393442622951,0.8979328165374676,0.9030568223838286,0.8255340288127173,1.0,1.0,1.0,1.0,0.7213114754098361,0.853448275862069,0.8003772579681346,0.6795081967213116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5409836065573771,0.34375,0.583532878983238,0.46370023419203743,0.6721311475409836,0.6721311475409836,0.8039215686274509,0.6721311475409836,1.0,1.0,1.0,1.0
98,0.9836065573770492,0.9893617021276595,0.9838010661512183,0.9683060109289617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.9263888888888889,0.9502966626181857,0.9066250846344815,1.0,1.0,1.0,1.0,0.7540983606557377,0.6313559322033898,0.8328970932635348,0.7274590163934426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6885245901639344,0.38181818181818183,0.749878266515176,0.6418449569324812,0.7540983606557377,0.7540983606557377,0.8598130841121495,0.7540983606557377,1.0,1.0,1.0,1.0
99,0.9508196721311475,0.9705882352941176,0.9532819283353853,0.9129886506935687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8852459016393442,0.8509803921568628,0.8909911661158988,0.8130735127332716,1.0,1.0,1.0,1.0,0.7868852459016393,0.7868852459016393,0.8807339449541284,0.7868852459016393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7213114754098361,0.39285714285714285,0.776796973518285,0.673224043715847,0.7868852459016393,0.7868852459016393,0.8807339449541284,0.7868852459016393,1.0,1.0,1.0,1.0
