,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.07571895917256673,0.014272574534281181,0.008578062057495117,0.0010630170349104214,SAMME.R,0.5,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.6485003037634752,-0.6366098355322689,-0.6511424252547727,-0.6454175215168391,0.006320690932473957,14,-0.6500546040302604,-0.6227707688556837,-0.625570305941151,-0.6327985596090316,0.012255275157356785,13
1,0.040810346603393555,0.007977892456676752,0.00651240348815918,0.003228807712595464,SAMME.R,0.1,50,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 50)])",-0.531929800307918,-0.5171359757909969,-0.5526077350631343,-0.5338911703873498,0.014547546320175651,9,-0.5339238047483014,-0.49748810021823536,-0.5064426019659638,-0.5126181689775001,0.015502545212234245,9
2,0.07245508829752605,0.018233846213162763,0.009235620498657227,0.004564230036377988,SAMME,0.1,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.37868799163184674,-0.3990262227576196,-0.40152081233699655,-0.3930783422421544,0.010226351167712701,3,-0.378100616899064,-0.39321595932188436,-0.38702656654275797,-0.38611438092123546,0.006204431539679929,3
3,0.11577399571736653,0.047969423688203804,0.010700861612955729,0.0016999031943591605,SAMME.R,0.1,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.595947453651081,-0.5828254776049528,-0.5995377583456821,-0.5927702298672387,0.007183135114915488,11,-0.5972183290067273,-0.5666240494625847,-0.5644322534173535,-0.5760915439622218,0.014965666868169258,11
4,0.052266995112101235,0.0050447279473206244,0.0059460798899332685,0.0010349083341463685,SAMME,1.0,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 1.0), ('n_estimators', 50)])",-0.5063582113778161,-0.5228596742314514,-0.544742529480079,-0.5246534716964488,0.015721582851884415,8,-0.49628428490785476,-0.5105366170779504,-0.5079161511520331,-0.5049123510459461,0.006194048454211628,8
5,0.07777078946431477,0.0476431688620764,0.007763226826985677,0.002981799669275896,SAMME.R,0.5,50,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.614496659493411,-0.6051606545044493,-0.6250283201519363,-0.6148952113832656,0.008115835026940176,12,-0.6180776496792364,-0.5901574008263977,-0.5801716716031181,-0.5961355740362507,0.016042022101801747,12
6,0.042489846547444664,0.008095326047072682,0.004137674967447917,0.0004527618548433885,SAMME,0.5,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.4150911209226607,-0.4564038668172007,-0.46843631698239374,-0.44664376824075175,0.02284545365172015,5,-0.4124315093104041,-0.44520268908991734,-0.4425599797628931,-0.43339805938773823,0.014864793860120244,5
7,0.14192612965901694,0.05812764536288097,0.012963612874348959,0.0012951385622345637,SAMME.R,0.5,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.6485003037634752,-0.6366098355322689,-0.6511424252547726,-0.645417521516839,0.006320690932473923,13,-0.6500546040302604,-0.6227707688556838,-0.625570305941151,-0.6327985596090318,0.012255275157356754,14
8,0.16629179318745932,0.03764971507278948,0.010991493860880533,0.0002110450533435222,SAMME,0.5,200,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 200)])",-0.5110046672890051,-0.5310322663866806,-0.5643392101043945,-0.53545871459336,0.02199755209300137,10,-0.5071525072620119,-0.5205843331490017,-0.5258933939087406,-0.5178767447732514,0.007886844919896966,10
9,0.057548840840657554,0.03044176861316429,0.004211982091267903,0.000306084042082605,SAMME,0.5,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.4150911209226607,-0.4564038668172007,-0.46843631698239374,-0.44664376824075175,0.02284545365172015,5,-0.4124315093104041,-0.44520268908991734,-0.4425599797628931,-0.43339805938773823,0.014864793860120244,5
10,0.041082143783569336,0.017434168094018068,0.0036214192708333335,8.954013514438463e-05,SAMME,0.1,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 50)])",-0.3743925411456744,-0.38364000207028554,-0.38525884603114974,-0.3810971297490366,0.004786703472304437,1,-0.3720949900577981,-0.3801517754248148,-0.37452524387813807,-0.37559066978691696,0.003374344073334025,1
11,0.1436146100362142,0.014505745086728207,0.014353752136230469,0.0031123565374402687,SAMME,0.1,200,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 200)])",-0.3925704285724581,-0.42795596356505516,-0.43669560791086204,-0.41907400001612505,0.019077470487025072,4,-0.3936841254881282,-0.420029718320888,-0.4182092189110557,-0.41064102090669063,0.012013347610119551,4
12,0.03906027475992838,0.013954709900210058,0.004507303237915039,0.0011949794313194035,SAMME,0.1,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 50)])",-0.3743925411456744,-0.38364000207028554,-0.38525884603114974,-0.3810971297490366,0.004786703472304437,1,-0.3720949900577981,-0.3801517754248148,-0.37452524387813807,-0.37559066978691696,0.003374344073334025,1
