,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_thread_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.36912012100219727,0.014371007999026401,0.0016821225484212239,2.7235663244940972e-05,64,9,50,5,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 9), ('iterations', 50), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5049898064058612,-0.5228000337261262,-0.6246922423328183,-0.5508273608216019,0.052734028165245805,7,-0.020214386580130132,-0.0178080436148478,-0.018345922126263837,-0.018789450773747256,0.0010312322281280117,5
1,0.10729861259460449,0.022424204679337655,0.0020738442738850913,0.000260184942675897,64,5,100,5,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 5), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 1.0), ('thread_count', -1)])",-0.7838891990365261,-0.7940371713885979,-0.8381829226980403,-0.8053697643743881,0.023569370732575826,15,-0.007002024928230961,-0.007315412571291719,-0.0067482827869688004,-0.0070219067621638265,0.00023195619350348693,4
2,0.12831592559814453,0.007507987793354322,0.0017761389414469402,0.00017675639463601928,64,7,50,7,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 50), ('l2_leaf_reg', 7), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5319554232752596,-0.5787370918739111,-0.5813190371267946,-0.5640038507586551,0.02268616154459317,8,-0.03883906053517135,-0.03344396363520404,-0.03292475451942734,-0.035069259563267584,0.0026740660740155477,9
3,0.0300597349802653,0.0054171095950082135,0.0016431808471679688,0.00015530220960913133,64,3,50,3,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 3), ('iterations', 50), ('l2_leaf_reg', 3), ('learning_rate', 1.0), ('thread_count', -1)])",-0.7549622512891181,-0.7871086112053465,-0.7513520580323435,-0.7644743068422694,0.016072588970835286,12,-0.027151494221434504,-0.03769635727495113,-0.03375250823592584,-0.03286678657743716,0.004350242242036027,8
4,0.38296691576639813,0.009859785877447734,0.0016799767812093098,2.029251975725418e-05,64,9,50,7,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 9), ('iterations', 50), ('l2_leaf_reg', 7), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5050341618814,-0.510726796395717,-0.5885288763217204,-0.5347632781996124,0.03808898509192568,6,-0.02591818936645718,-0.023928534529454166,-0.02527753611879491,-0.025041420004902084,0.000829254567682027,7
5,0.24937701225280762,0.0023218764032297756,0.0017313957214355469,6.729066101335493e-05,128,7,100,3,0.5,-1,"OrderedDict([('border_count', 128), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 3), ('learning_rate', 0.5), ('thread_count', -1)])",-0.7036216531984931,-0.6654054812180404,-0.8386172155494189,-0.7358814499886508,0.07430162445163503,11,-0.006775211387217014,-0.006949271571771987,-0.006244406859909202,-0.006656296606299401,0.000299793383680455,3
6,0.09588003158569336,0.005495671566029886,0.001659711201985677,1.1617181596515405e-05,64,5,100,5,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 5), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.5719827567055022,-0.6620863523897952,-0.6580070708736637,-0.6306920599896538,0.04154713671245246,10,-0.01928784903068378,-0.020391741503470773,-0.020892455454055957,-0.02019068199607017,0.0006703278489510145,6
7,0.25382280349731445,0.007960370854422102,0.0017235279083251953,2.838349569217902e-05,128,7,100,5,1.0,-1,"OrderedDict([('border_count', 128), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 1.0), ('thread_count', -1)])",-0.7978331584714902,-0.769356275387381,-0.8333271087044317,-0.8001721808544343,0.026168303321644746,14,-0.005215082334207281,-0.0041935457787721534,-0.005031404795320575,-0.004813344302766669,0.0004446324454589469,2
8,0.0506749153137207,0.003373019840766633,0.0016636848449707031,7.620970724707055e-05,64,3,100,7,0.1,-1,"OrderedDict([('border_count', 64), ('depth', 3), ('iterations', 100), ('l2_leaf_reg', 7), ('learning_rate', 0.1), ('thread_count', -1)])",-0.37477981508354796,-0.42377500272804636,-0.43625448516485865,-0.411603100992151,0.02653174399724122,4,-0.22920939308346558,-0.22555761148043768,-0.2128758878609231,-0.22254763080827544,0.006999563603006418,13
9,0.5249780813852946,0.045795670395384014,0.0018818378448486328,5.814970003666421e-05,32,7,200,5,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 7), ('iterations', 200), ('l2_leaf_reg', 5), ('learning_rate', 0.5), ('thread_count', -1)])",-0.7253804084186098,-0.7968212927363351,-0.8738446305451234,-0.7986821105666895,0.06062454560740236,13,-0.004791188880723223,-0.0043616384310505695,-0.004511208758509086,-0.004554678690094293,0.0001780367441803546,1
10,0.04674482345581055,0.03116704192188143,0.0015230973561604817,2.5037608812900817e-05,32,3,50,7,0.1,-1,"OrderedDict([('border_count', 32), ('depth', 3), ('iterations', 50), ('l2_leaf_reg', 7), ('learning_rate', 0.1), ('thread_count', -1)])",-0.38108706077386917,-0.40158688605787707,-0.3975740943477745,-0.393416013726507,0.008870472930211905,2,-0.29987804387703776,-0.28837285735457013,-0.28529906079820233,-0.2911833206766034,0.006274855375045875,15
