,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.010663509368896484,0.00032138335123308126,0.001873334248860677,0.00021736595691155018,10.0,auto,sigmoid,"OrderedDict([('C', 10.0), ('gamma', 'auto'), ('kernel', 'sigmoid')])",-0.37701023596953404,-0.3954070984361982,-0.38356305548717184,-0.3853267966309681,0.007613331477133988,10,-0.38454206358312143,-0.38691481436996333,-0.38172038652754586,-0.3843924214935435,0.0021232545331401637,10
1,0.014991362889607748,0.00368477610841243,0.0026373068491617837,0.0005901960094812505,0.1,auto,poly,"OrderedDict([('C', 0.1), ('gamma', 'auto'), ('kernel', 'poly')])",-0.38124762135578133,-0.38816818332027536,-0.43637302236491027,-0.40192960901365565,0.02451849760133682,15,-0.3904092773381287,-0.3936800460216259,-0.3752097332468533,-0.3864330188688693,0.008047611946420277,11
2,0.016429583231608074,0.005713265786738402,0.0023822784423828125,0.0005040878103428038,10.0,scale,poly,"OrderedDict([('C', 10.0), ('gamma', 'scale'), ('kernel', 'poly')])",-0.38058065211978137,-0.3837662810651732,-0.4218458216764687,-0.3953975849538078,0.018746892671371144,14,-0.3850259753060659,-0.3853717977834382,-0.37532325954418305,-0.38190701087789575,0.004657555475753818,4
3,0.010888020197550455,0.0004187208755783747,0.0026536782582600913,0.0006755139967765741,0.1,scale,rbf,"OrderedDict([('C', 0.1), ('gamma', 'scale'), ('kernel', 'rbf')])",-0.3810746980073949,-0.3856367011228214,-0.3809486176650034,-0.38255333893173993,0.0021808738102310535,7,-0.38399318563984447,-0.39335217273266543,-0.38465964397219576,-0.3873350007815685,0.00426347357553989,12
4,0.027538617451985676,0.008445273203321777,0.002603610356648763,0.0006379306992064924,100.0,auto,poly,"OrderedDict([('C', 100.0), ('gamma', 'auto'), ('kernel', 'poly')])",-0.3810539146240667,-0.38349276093621987,-0.4127944063524372,-0.39244702730424125,0.014422178948452932,12,-0.3834838874873314,-0.3822127251466993,-0.3753756924097148,-0.3803574350145819,0.003560644413578428,1
5,0.01584339141845703,0.0005541144596713621,0.0022567113240559897,8.941392518271769e-05,1.0,auto,rbf,"OrderedDict([('C', 1.0), ('gamma', 'auto'), ('kernel', 'rbf')])",-0.3807132703039307,-0.41463969949005497,-0.38371088526825814,-0.39302128502074796,0.01533543406610211,13,-0.39394382671642986,-0.5051720118418587,-0.3925808461845494,-0.430565561580946,0.05275766133547557,15
6,0.01161797841389974,0.0004474254949822779,0.001992305119832357,3.355994990410942e-05,0.1,scale,sigmoid,"OrderedDict([('C', 0.1), ('gamma', 'scale'), ('kernel', 'sigmoid')])",-0.37708805647620836,-0.38239138811444146,-0.38751953226429425,-0.38233299228498135,0.004258832338723008,5,-0.38416369190334254,-0.3820274991566839,-0.38425383505534727,-0.3834816753717913,0.001028916192052359,9
7,0.013239065806070963,0.0007144149589337416,0.0022507508595784507,0.00014257794279519796,0.1,auto,rbf,"OrderedDict([('C', 0.1), ('gamma', 'auto'), ('kernel', 'rbf')])",-0.3805118924051703,-0.3838158530096529,-0.3833998030897734,-0.3825758495015322,0.0014692886160031942,8,-0.3882073007128594,-0.3950535549251968,-0.3907838240015109,-0.3913482265465224,0.0028233209593902407,13
8,0.01006786028544108,0.0003298702533894027,0.0021087328592936196,0.00021000714829873826,0.1,scale,rbf,"OrderedDict([('C', 0.1), ('gamma', 'scale'), ('kernel', 'rbf')])",-0.37695977123335295,-0.3838099945257824,-0.3845369703850846,-0.38176891204807334,0.00341350260063951,3,-0.36462398114498956,-0.38867607340023547,-0.45814218934423195,-0.40381408129648566,0.03965083671668155,14
9,0.013053973515828451,0.0016284262547972442,0.0050169626871744795,0.00017802662067638276,1.0,auto,sigmoid,"OrderedDict([('C', 1.0), ('gamma', 'auto'), ('kernel', 'sigmoid')])",-0.3808318350174819,-0.38223912334393034,-0.3842899030906623,-0.3824536204840248,0.0014198745172300546,6,-0.38258430266888205,-0.38172050818574366,-0.3820363724135851,-0.3821137277560703,0.0003568595559724924,6
10,0.46074310938517254,0.361953800913134,0.002667665481567383,0.0002295434845626465,10.0,scale,linear,"OrderedDict([('C', 10.0), ('gamma', 'scale'), ('kernel', 'linear')])",-0.37886645754778553,-0.38383107141267386,-0.382567180810406,-0.38175490325695516,0.0021066076718649646,2,-0.38284045760844865,-0.38045967185333057,-0.38158791476863674,-0.3816293480768053,0.0009723931791247924,2
11,0.016638994216918945,0.0028187899400882203,0.00560609499613444,0.00010496201750798682,1.0,auto,linear,"OrderedDict([('C', 1.0), ('gamma', 'auto'), ('kernel', 'linear')])",-0.3806260439622015,-0.38271999427742165,-0.38259954072916413,-0.38198185965626247,0.0009599668089812198,4,-0.38257199040148987,-0.38176496056180115,-0.3816114837398023,-0.38198281156769776,0.00042129764408248386,5
12,0.01082460085550944,0.0011496375004583536,0.0025277932484944663,0.0004850678709768729,0.1,scale,linear,"OrderedDict([('C', 0.1), ('gamma', 'scale'), ('kernel', 'linear')])",-0.38065035555150384,-0.3853772029715874,-0.38256780163384463,-0.38286512005231194,0.0019411457638308326,9,-0.3830336060778287,-0.3847773978781189,-0.3815873085936846,-0.38313277084987735,0.00130423480750903,8
