,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0020914077758789062,9.544032013538037e-05,0.001600503921508789,0.00018499694261251177,entropy,5,2,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 3)])",-0.0020854537506003108,-1.688044747441171,-0.25278595373884627,-0.6476387183102058,0.742763405247654,1,-0.011746535763807443,-0.025238264924957073,-0.02512032910755072,-0.020701709932105076,0.006332447420635288,121
1,0.002207676569620768,0.00022429130590849092,0.0014921029408772786,0.00011208248744266242,gini,9,2,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 4)])",-0.0064780110332707365,-1.770069346053831,-0.6332699090726988,-0.8032724220532668,0.7299494229304209,29,-0.006508424230610035,-0.025238264924957062,-0.031539187963675046,-0.02109529237308071,0.010630395083261055,123
2,0.0026182333628336587,0.0008364799635232721,0.0015396277109781902,7.394111474091069e-05,gini,7,4,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 3)])",-0.3410274812312672,-1.700309022183904,-1.399864270197805,-1.1470669245376588,0.5830045456502349,135,-0.027544931702991868,-0.02881524440040427,-0.02102187456518931,-0.02579401688952848,0.0034140328410950924,139
3,0.00290679931640625,0.0009593053710452888,0.0017081101735432942,0.00017872387772871194,entropy,3,3,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 3), ('min_samples_leaf', 3), ('min_samples_split', 4)])",-0.004701624264153303,-1.729595416132293,-0.25278595373884627,-0.6623609980450976,0.7614146640717147,10,-0.02535491430610913,-0.02535491430610912,-0.02512032910755072,-0.025276719239922987,0.00011058452311109464,128
4,0.001961310704549154,0.0002543351789709646,0.0015905698140462239,0.00021598445392349855,entropy,9,5,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 4)])",-0.3410274812312672,-2.3644740271437383,-0.2506232577332313,-0.9853749220360789,0.9758684976942782,90,-0.027544931702991868,-0.02603369692243948,-0.025001266350722074,-0.026193298325384473,0.0010445614109762242,140
5,0.0018019676208496094,0.00022526001343772562,0.0015989939371744792,0.0002252356467306824,gini,7,5,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 5), ('min_samples_split', 4)])",-0.3431129349818673,-2.3644740271437383,-0.6455717246362992,-1.1177195622539682,0.8901939308007512,107,-0.027544931702991864,-0.02603369692243948,-0.03663222307786666,-0.030070283901099337,0.0046808291259977436,146
6,0.0016144116719563801,0.00014345777962457745,0.0014312267303466797,0.00012907513012336852,gini,7,4,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 4)])",-0.3431129349818673,-2.37129192270197,-1.417878822130677,-1.3774278932715047,0.828494502010127,147,-0.027544931702991864,-0.03300327376234075,-0.021021874565189315,-0.027190026676840645,0.004897819233329995,142
7,0.0018150011698404949,0.00032397077871085755,0.0015958150227864583,0.0001211876944449186,gini,5,1,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 1), ('min_samples_split', 3)])",-2.2204460492503136e-16,-2.357996016110468,-2.72027572748054,-1.6927572478636694,1.2060630089852502,150,-2.2204460492503136e-16,-2.2204460492503136e-16,-0.0064780110332707365,-0.0021593370110903937,0.0030537636868179026,3
8,0.0019497871398925781,0.0002713836764725925,0.0015434424082438152,5.363952946223071e-05,entropy,7,2,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 2), ('min_samples_split', 5)])",-2.2204460492503136e-16,-2.357996016110468,-0.25278595373884627,-0.8702606566164383,1.0570375456966314,32,-0.006508424230610035,-2.2204460492503136e-16,-0.02512032910755072,-0.010542917779386991,0.010644735389360456,24
9,0.007594903310139974,0.004329028769798022,0.008925040562947592,0.0019530125427953387,gini,7,3,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 3)])",-0.006256361251800488,-2.0314068469473927,-1.4096709721807048,-1.1491113934599662,0.8470447028642664,136,-0.011746535763807443,-0.008964988285842652,-0.036213935557193086,-0.01897515320228106,0.012242438874752114,99
10,0.004865248998006185,0.004747411406829133,0.00330503781636556,0.002882289698286546,entropy,5,3,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 4)])",-0.006256361251800488,-2.357996016110468,-0.25278595373884627,-0.8723461103670384,1.0553233128034123,51,-0.011746535763807443,-2.2204460492503136e-16,-0.02512032910755072,-0.012288954957119463,0.010262501240076811,54
11,0.0024660428365071616,0.0003364802982652177,0.009015480677286783,0.004810966158441677,gini,3,1,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 3), ('min_samples_leaf', 1), ('min_samples_split', 4)])",-0.004701624264153303,-2.357996016110468,-2.0402067956104046,-1.4676348119950084,1.0425537974895367,149,-0.025354914306109123,-2.2204460492503136e-16,-0.0064780110332707365,-0.010610975113126695,0.010755741534379554,37
