,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_param,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.008387168248494467,0.001980595762231417,0.004036426544189453,0.001826403975535376,0.1,1e-07,"OrderedDict([('reg_param', 0.1), ('tol', 1e-07)])",-0.3337352750970271,-0.3747516081375418,-0.38752394823483766,-0.36533694382313553,0.022946056561658868,15,-0.28884152739360136,-0.27345828758660334,-0.2811574717997316,-0.28115242892664544,0.006280182365336685,1
1,0.013553619384765625,0.0023247063676411985,0.0035150845845540366,0.0028119821449749233,1.0,1e-05,"OrderedDict([('reg_param', 1.0), ('tol', 1e-05)])",-15.046220740109572,-14.878141467428145,-14.529048412214012,-14.817803539917243,0.21540241921801673,21,-14.57822292028093,-14.716768399090462,-15.022231022264775,-14.772407447212055,0.18548598583852027,21
2,0.011272748311360678,0.0011095342590182406,0.00806101163228353,8.148972027211881e-05,0.1,1e-07,"OrderedDict([('reg_param', 0.1), ('tol', 1e-07)])",-0.3337352750970271,-0.3747516081375418,-0.38752394823483766,-0.36533694382313553,0.022946056561658868,15,-0.28884152739360136,-0.27345828758660334,-0.2811574717997316,-0.28115242892664544,0.006280182365336685,1
3,0.010440667470296225,0.002446759880283233,0.008220434188842773,0.002438613696449306,0.0,1e-07,"OrderedDict([('reg_param', 0.0), ('tol', 1e-07)])",-1.75721880786351,-9.779943881558868,-2.826209330088282,-4.78779067317022,3.5568600784184543,20,-1.3368894900133401,-9.154442009115279,-1.908253927516814,-4.133195142215144,3.5582115736117332,20
4,0.00915829340616862,0.0025850002876794454,0.00790858268737793,0.000560659019052775,0.5,1e-05,"OrderedDict([('reg_param', 0.5), ('tol', 1e-05)])",-0.31873325894786525,-0.3627766776117087,-0.360304876191605,-0.34727160425039294,0.020204872597467446,1,-0.3274050655732152,-0.31797037757439983,-0.31141492884865907,-0.31893012399875803,0.006563126948683373,6
5,0.010349194208780924,0.0019237020827861378,0.0033142566680908203,0.0003734029754707348,1.0,1e-05,"OrderedDict([('reg_param', 1.0), ('tol', 1e-05)])",-15.046220740109572,-14.878141467428145,-14.529048412214012,-14.817803539917243,0.21540241921801673,21,-14.57822292028093,-14.716768399090462,-15.022231022264775,-14.772407447212055,0.18548598583852027,21
6,0.009249369303385416,0.0022567249566496773,0.006983359654744466,0.004202328597471117,0.5,1e-06,"OrderedDict([('reg_param', 0.5), ('tol', 1e-06)])",-0.31873325894786525,-0.3627766776117087,-0.360304876191605,-0.34727160425039294,0.020204872597467446,1,-0.3274050655732152,-0.31797037757439983,-0.31141492884865907,-0.31893012399875803,0.006563126948683373,6
7,0.010364929835001627,0.002039799395745823,0.005571842193603516,0.0025366187122999903,1.0,1e-07,"OrderedDict([('reg_param', 1.0), ('tol', 1e-07)])",-15.046220740109572,-14.878141467428145,-14.529048412214012,-14.817803539917243,0.21540241921801673,21,-14.57822292028093,-14.716768399090462,-15.022231022264775,-14.772407447212055,0.18548598583852027,21
8,0.007568756739298503,0.0010722171397078446,0.006605943044026692,0.00011637763094049655,1.0,1e-07,"OrderedDict([('reg_param', 1.0), ('tol', 1e-07)])",-15.046220740109572,-14.878141467428145,-14.529048412214012,-14.817803539917243,0.21540241921801673,21,-14.57822292028093,-14.716768399090462,-15.022231022264775,-14.772407447212055,0.18548598583852027,21
9,0.0058163801829020185,0.0008224614496526408,0.0049419403076171875,0.0038041317825086773,0.1,1e-07,"OrderedDict([('reg_param', 0.1), ('tol', 1e-07)])",-0.3337352750970271,-0.3747516081375418,-0.38752394823483766,-0.36533694382313553,0.022946056561658868,15,-0.28884152739360136,-0.27345828758660334,-0.2811574717997316,-0.28115242892664544,0.006280182365336685,1
10,0.005139986673990886,0.0010117973703144775,0.003081162770589193,0.0011707606143788432,0.5,1e-07,"OrderedDict([('reg_param', 0.5), ('tol', 1e-07)])",-0.31873325894786525,-0.3627766776117087,-0.360304876191605,-0.34727160425039294,0.020204872597467446,1,-0.3274050655732152,-0.31797037757439983,-0.31141492884865907,-0.31893012399875803,0.006563126948683373,6
11,0.005886077880859375,0.0007895071561643141,0.0022263526916503906,0.001024298289938837,0.5,1e-06,"OrderedDict([('reg_param', 0.5), ('tol', 1e-06)])",-0.31873325894786525,-0.3627766776117087,-0.360304876191605,-0.34727160425039294,0.020204872597467446,1,-0.3274050655732152,-0.31797037757439983,-0.31141492884865907,-0.31893012399875803,0.006563126948683373,6
12,0.016992489496866863,0.007462011099589084,0.0041035811106363935,0.0025166117713910433,0.1,1e-06,"OrderedDict([('reg_param', 0.1), ('tol', 1e-06)])",-0.3337352750970271,-0.3747516081375418,-0.38752394823483766,-0.36533694382313553,0.022946056561658868,15,-0.28884152739360136,-0.27345828758660334,-0.2811574717997316,-0.28115242892664544,0.006280182365336685,1
13,0.0045672257741292315,0.0005988897008311454,0.002202590306599935,0.0006469570723217211,0.5,1e-05,"OrderedDict([('reg_param', 0.5), ('tol', 1e-05)])",-0.31873325894786525,-0.3627766776117087,-0.360304876191605,-0.34727160425039294,0.020204872597467446,1,-0.3274050655732152,-0.31797037757439983,-0.31141492884865907,-0.31893012399875803,0.006563126948683373,6
