,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0020155906677246094,0.0004528257404010455,0.0010781288146972656,7.392744652557159e-05,entropy,7,1,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 5)])",-2.0161155784850826,-1.8048021557736895,-1.26072522210409,-1.6938809854542873,0.3182046271894026,24,-0.07056034424390357,-0.030968642395456793,-0.033183129418694994,-0.04490403868601845,0.0181642597675343,3
1,0.0017055670420328777,9.222769726803575e-05,0.0010310808817545574,4.0120651434873853e-05,gini,9,3,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 3), ('min_samples_split', 4)])",-2.4311697886109536,-1.2879408974742643,-0.825635602267932,-1.5149154294510498,0.6748200177349007,20,-0.06269925817333014,-0.051561749877309174,-0.08160447904297151,-0.06528849569787028,0.012400793177567301,6
2,0.0015207926432291667,7.777790787798144e-06,0.0009884039560953777,1.7710861558512522e-05,gini,5,1,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 1), ('min_samples_split', 4)])",-1.8942863606372202,-1.1753149883987701,-1.2209093195698493,-1.430170222868613,0.3287071166065326,19,-0.19275250943043257,-0.18048704086323492,-0.16211040149635628,-0.1784499839300079,0.012592243521914629,9
3,0.0018014113108317058,0.0001458038722558037,0.0010506312052408855,6.841307008473962e-05,entropy,9,2,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 4)])",-2.406599711530757,-1.660840061878538,-0.755984588083759,-1.6078081204976848,0.6749033815013592,22,-0.038116864595286064,-0.014968045202868038,-0.02826383889307466,-0.02711624956374292,0.009485240491321038,1
4,0.001771370569864909,8.042315713480189e-05,0.0012702147165934246,0.0002465395161620516,gini,5,2,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 3)])",-1.9020745312053091,-1.1794296411653176,-0.9621878625759283,-1.347897344982185,0.4017733713499064,16,-0.1953534369372241,-0.18406967220448153,-0.16823193540730425,-0.1825516815163366,0.011124213323686676,16
5,0.0016098817189534504,7.176262814452776e-05,0.0010404586791992188,8.395674791933338e-05,entropy,5,2,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 2)])",-2.5567802199100216,-1.15376557971569,-0.48156238090045045,-1.3973693935087208,0.864538174752575,18,-0.19115290732414478,-0.18060139624484509,-0.13360489433790457,-0.1684530659689648,0.025015060743946767,7
6,0.001669009526570638,4.4456097656265686e-05,0.0010116100311279297,3.0115075960686284e-05,gini,7,1,4,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 4)])",-1.7296207147495217,-1.277752313860391,-1.1678447429814118,-1.3917392571971083,0.24309508160722768,17,-0.06607554249064641,-0.04365978052179134,-0.041597997708222215,-0.05044444024021999,0.011084862208286481,4
7,0.001684109369913737,4.979099925140652e-05,0.0009907881418863933,2.6686082203258325e-05,entropy,7,1,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 2)])",-1.9855992221932324,-1.3871013501102611,-1.5411558106473224,-1.637952127650272,0.2537414313311391,23,-0.06275756172352895,-0.026231196479196004,-0.02030288176184304,-0.036430546654856,0.018772675544819487,2
8,0.0015502770741780598,4.598299936979558e-05,0.000984509785970052,2.1553121602250125e-05,entropy,5,5,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 3)])",-1.8767814370862572,-1.3065266737807322,-0.4819113136492573,-1.2217398081720823,0.5726006605823948,15,-0.19987519381361205,-0.1842463158195316,-0.15348397122552093,-0.1792018269528882,0.019272113432776745,12
9,0.0020777384440104165,0.00046658730483391605,0.0018827120463053386,0.0011377275694948409,gini,9,3,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 3), ('min_samples_split', 3)])",-2.6981225098170136,-1.2920555502408118,-0.8126065199265795,-1.6009281933281352,0.8001434743298386,21,-0.06269925817333014,-0.051561749877309174,-0.076412365330912,-0.06355779112718378,0.010163368248448294,5
10,0.002592166264851888,0.0014072470548403815,0.0011716683705647786,0.00024341998539042874,entropy,5,5,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 5)])",-1.8726027188968526,-0.9093475139389074,-0.4819113136492573,-1.0879538488283391,0.5816246288368239,10,-0.19987519381361205,-0.18424631581953163,-0.15348397122552093,-0.1792018269528882,0.019272113432776745,12
11,0.0051860809326171875,0.004909315038937884,0.0029244422912597656,0.002596740876868991,entropy,5,5,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 4)])",-1.8734384625347336,-1.3065266737807322,-0.48107242811800094,-1.2203458548111554,0.5716882271646814,14,-0.19987519381361205,-0.1842463158195316,-0.15348397122552096,-0.1792018269528882,0.01927211343277673,12
