iter	Logloss
0	0.6910429052
1	0.6888700931
2	0.6866271521
3	0.6844191765
4	0.6825551999
5	0.6806677145
6	0.6787190495
7	0.677195833
8	0.6759032861
9	0.6741741116
10	0.6723673332
11	0.6709481073
12	0.6690945207
13	0.6672894818
14	0.6654819478
15	0.6637499388
16	0.6619423985
17	0.6603674083
18	0.6589841751
19	0.6571166548
20	0.6552384808
21	0.6536724248
22	0.6525106957
23	0.6508593137
24	0.6490956112
25	0.647851828
26	0.646363048
27	0.6450697251
28	0.6438566549
29	0.6421989487
30	0.6409411768
31	0.6396448528
32	0.6387171523
33	0.6372801019
34	0.6356739588
35	0.6345943491
36	0.6329339124
37	0.6312648051
38	0.6296682953
39	0.6287172424
40	0.6274630221
41	0.6261271727
42	0.6248348036
43	0.623600301
44	0.6218550671
45	0.6203073467
46	0.6191948248
47	0.6180885255
48	0.6169340591
49	0.6156216439
50	0.6141220264
51	0.6130373911
52	0.6116620328
53	0.6108479807
54	0.6097098365
55	0.6088717404
56	0.6078750406
57	0.606879338
58	0.6054838608
59	0.6045188145
60	0.602913078
61	0.6021314701
62	0.6004696252
63	0.5995180853
64	0.5985287713
65	0.5976875895
66	0.5964197752
67	0.5953986581
68	0.5945059907
69	0.5932878464
70	0.5922215818
71	0.5916167189
72	0.5900973782
73	0.5892403031
74	0.588189361
75	0.5869739924
76	0.5862042202
77	0.5847794681
78	0.5841088972
79	0.5829018341
80	0.5816882498
81	0.5811616004
82	0.5804057115
83	0.5796955966
84	0.5792530048
85	0.5785355374
86	0.5778056905
87	0.5769873264
88	0.5762496418
89	0.5750759862
90	0.5738512902
91	0.5729381642
92	0.5717760267
93	0.5710097197
94	0.5700883007
95	0.5692712202
96	0.5683202364
97	0.5676070042
98	0.5666891514
99	0.5657871366
100	0.5649208982
101	0.5642185494
102	0.5638937472
103	0.5629277267
104	0.5622338815
105	0.5613044026
106	0.5602046704
107	0.5598286964
108	0.559080357
109	0.558560987
110	0.557880017
111	0.5573766808
112	0.5565951249
113	0.5557452014
114	0.5547898346
115	0.5538248624
116	0.5532847309
117	0.5522837947
118	0.551678072
119	0.5504490831
120	0.5491615131
121	0.5485357643
122	0.5478758543
123	0.5473005764
124	0.5465390652
125	0.5456623406
126	0.5452365671
127	0.5446041234
128	0.5436838218
129	0.5430740588
130	0.5425579137
131	0.5414264631
132	0.5404007951
133	0.5398773089
134	0.5390937309
135	0.5385908931
136	0.5380446277
137	0.5373960172
138	0.5366789077
139	0.5359744002
140	0.535297081
141	0.5347121934
142	0.534119743
143	0.5331949525
144	0.532403411
145	0.5317415872
146	0.5308590329
147	0.5301216309
148	0.5295686986
149	0.528870652
150	0.5284580384
151	0.5274731824
152	0.5267006926
153	0.5261162536
154	0.5253664299
155	0.5244451548
156	0.5238433541
157	0.5232320608
158	0.5226124743
159	0.5222848492
160	0.5216506053
161	0.5211706385
162	0.5206580079
163	0.5195795625
164	0.5191919036
165	0.5187675768
166	0.518073144
167	0.5172448169
168	0.5165827716
169	0.5158131741
170	0.515235584
171	0.514847227
172	0.5142497626
173	0.5138534057
174	0.5133467033
175	0.5131235668
176	0.5126180767
177	0.5121710611
178	0.5118153491
179	0.5113176913
180	0.5107135175
181	0.5099805323
182	0.5096207028
183	0.5090804075
184	0.508465561
185	0.5079846316
186	0.5072847215
187	0.5068007176
188	0.5064638685
189	0.5061159247
190	0.5054907228
191	0.5049790733
192	0.5044253884
193	0.503855926
194	0.5034280491
195	0.5030153733
196	0.5024516639
197	0.5019169023
198	0.5015261021
199	0.5010523728
200	0.500329308
201	0.4997995048
202	0.4992982426
203	0.4988661654
204	0.498338618
205	0.4981583813
206	0.4976611662
207	0.4971911201
208	0.4966441862
