,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_thread_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.7577627499898275,0.012537314995550473,0.0021938482920328775,0.00014082774619630654,128,9,100,1,0.5,-1,"OrderedDict([('border_count', 128), ('depth', 9), ('iterations', 100), ('l2_leaf_reg', 1), ('learning_rate', 0.5), ('thread_count', -1)])",-0.15830945811575498,-0.10570368713887872,-0.1584500620318321,-0.1408210690954886,0.02483180526368184,14,-0.0010715225768142967,-0.0009805161496606123,-0.0009350231698238164,-0.0009956872987662419,5.674883171236293e-05,1
1,0.1011192798614502,0.005740330400701264,0.002103726069132487,0.00011919726205126211,128,5,100,3,0.5,-1,"OrderedDict([('border_count', 128), ('depth', 5), ('iterations', 100), ('l2_leaf_reg', 3), ('learning_rate', 0.5), ('thread_count', -1)])",-0.202137642288711,-0.034854249250106495,-0.13213670385713192,-0.12304286513198315,0.06859522249494407,8,-0.006370150398479167,-0.004152574027821855,-0.004517777694623892,-0.005013500706974971,0.000970813136381125,7
2,0.055201053619384766,0.0005240449407868809,0.001953681310017904,8.109090649952235e-05,64,3,100,1,0.5,-1,"OrderedDict([('border_count', 64), ('depth', 3), ('iterations', 100), ('l2_leaf_reg', 1), ('learning_rate', 0.5), ('thread_count', -1)])",-0.23019996722425043,-0.051752324744133105,-0.06923618615979807,-0.11706282604272722,0.0803178306834644,7,-0.007234955909264233,-0.008226411432796432,-0.008294626746648368,-0.007918664696236343,0.0004842565513569134,11
3,0.24153312047322592,0.00277302964936901,0.002074559529622396,6.239171216342871e-05,64,7,100,3,1.0,-1,"OrderedDict([('border_count', 64), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 3), ('learning_rate', 1.0), ('thread_count', -1)])",-0.16429099908366535,-0.055107385638770295,-0.1683249162124324,-0.1292411003116227,0.05244631452096106,12,-0.0014002515963778995,-0.0015926925322645852,-0.0013396635870546324,-0.0014442025718990389,0.00010787238746302714,4
4,1.452564001083374,0.002252640938323955,0.002359310785929362,5.6304936666008856e-05,32,9,200,7,0.1,-1,"OrderedDict([('border_count', 32), ('depth', 9), ('iterations', 200), ('l2_leaf_reg', 7), ('learning_rate', 0.1), ('thread_count', -1)])",-0.0838548934561732,-0.06723635178900537,-0.09043157834011059,-0.08050760786176306,0.009760733385259646,2,-0.012266132425121572,-0.012791520025209049,-0.012222932565529532,-0.012426861671953384,0.0002584548225081034,12
5,0.09516310691833496,0.0019079830882730838,0.0019411245981852214,1.191350917907938e-05,32,5,100,5,0.1,-1,"OrderedDict([('border_count', 32), ('depth', 5), ('iterations', 100), ('l2_leaf_reg', 5), ('learning_rate', 0.1), ('thread_count', -1)])",-0.16588557933312792,-0.10682874883829241,-0.13988259840945133,-0.13753230886029055,0.02416706026457782,13,-0.0584793858462036,-0.06128388502651933,-0.0619306205611513,-0.06056463047795807,0.0014979431661747754,14
6,0.1868124802907308,0.0041159581618268265,0.002254327138264974,8.623819687060507e-05,128,5,200,3,0.5,-1,"OrderedDict([('border_count', 128), ('depth', 5), ('iterations', 200), ('l2_leaf_reg', 3), ('learning_rate', 0.5), ('thread_count', -1)])",-0.21943257471512748,-0.03452723742859872,-0.1297780372752951,-0.1279126164730071,0.07549881140494176,11,-0.002966545245523332,-0.0023519819586936123,-0.003407839145992371,-0.0029087887834031052,0.0004329822603603181,5
7,0.24526596069335938,0.0037884367468505463,0.001988967259724935,2.6918667127030354e-05,32,7,100,9,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 7), ('iterations', 100), ('l2_leaf_reg', 9), ('learning_rate', 0.5), ('thread_count', -1)])",-0.15132486373556267,-0.0743916069405075,-0.07925403931003583,-0.10165683666203533,0.035176654163138206,5,-0.00512012271335398,-0.005206899116361177,-0.00515400849999756,-0.005160343443237572,3.5708399190363346e-05,8
8,0.0997169017791748,0.005789870979194578,0.001932223637898763,1.6625980572125075e-05,32,5,100,7,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 5), ('iterations', 100), ('l2_leaf_reg', 7), ('learning_rate', 0.5), ('thread_count', -1)])",-0.19039576739242023,-0.04851509405608659,-0.13579286954784797,-0.12490124366545159,0.05843230842815425,9,-0.005821835718298942,-0.007124835783405116,-0.006563306499415779,-0.006503326000373279,0.0005336356669837041,10
9,0.08767477671305339,0.03213955465590776,0.0021006266276041665,9.914703492053233e-05,128,3,100,9,0.5,-1,"OrderedDict([('border_count', 128), ('depth', 3), ('iterations', 100), ('l2_leaf_reg', 9), ('learning_rate', 0.5), ('thread_count', -1)])",-0.18127713275287352,-0.07673135639118553,-0.12406099967872072,-0.12735649627425993,0.04274420087080373,10,-0.024749357658635684,-0.028436248795828768,-0.03744234021186149,-0.03020931555544198,0.005331402306126576,13
10,0.386133352915446,0.030224253330196762,0.0019214948018391926,3.899842626694137e-06,32,9,50,1,0.5,-1,"OrderedDict([('border_count', 32), ('depth', 9), ('iterations', 50), ('l2_leaf_reg', 1), ('learning_rate', 0.5), ('thread_count', -1)])",-0.11085944231054042,-0.11156435660577492,-0.12701910957076634,-0.1164809694956939,0.0074571452635394135,6,-0.0013600856586754267,-0.0014749057873800525,-0.0013727968845281397,-0.0014025961101945398,5.1393325615132046e-05,3
