,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.14734252293904623,0.00419677141350793,0.0266266663869222,0.00044735696983392567,5,2,2,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 100)])",-0.40993275668150914,-0.4068146978604026,-0.4178825616501744,-0.41154333873069543,0.004659748428124008,8,-0.3804672615980903,-0.38443923959638343,-0.37227058846339073,-0.37905902988595486,0.005066646163253635,9
1,0.14194663365681967,0.008858882588338786,0.026796658833821613,0.00016966586347557058,3,1,2,100,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])",-0.48528276575550894,-0.48856643341486816,-0.4955922485658228,-0.48981381591206663,0.004300258230600965,14,-0.4838638551462377,-0.4781268080151414,-0.47319587646444217,-0.47839551320860707,0.0043593267178588906,14
2,0.26594344774882,0.005500141653932279,0.04512214660644531,0.006210166055764657,3,5,5,200,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 200)])",-0.5082883322971915,-0.507510354614379,-0.5138702603069799,-0.5098896490728501,0.0028325797036975217,15,-0.5055325307347913,-0.4995791509740292,-0.49591284982486,-0.5003415105112269,0.00396404332722633,15
3,0.06946865717569987,0.005859538885689053,0.014780441919962565,0.00032519934889348894,5,4,4,50,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 50)])",-0.43489907441240094,-0.42833131044078726,-0.4416748881446762,-0.43496842433262145,0.005447713498554935,12,-0.4193069361595242,-0.41657795554583626,-0.40322371593307266,-0.4130362025461444,0.007027351513728569,12
4,0.2289090951283773,0.001431690846938189,0.03665622075398763,8.503499431596691e-05,5,4,2,200,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 200)])",-0.4382870768871737,-0.4337168826197647,-0.4468481300132568,-0.4396173631733984,0.0054427113788234425,13,-0.4208462550702015,-0.4148921858333523,-0.4111418900123515,-0.4156267769719684,0.00399569713564521,13
5,0.07647792498270671,0.012395910567927371,0.014604568481445312,0.00018758446939940492,7,2,3,50,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 50)])",-0.3486048050031365,-0.3709266405534198,-0.3722199330093072,-0.36391712618862115,0.010840311693233908,3,-0.30272694702180686,-0.31799498491664974,-0.29549205807066053,-0.30540466333637234,0.009379873938561333,3
6,0.12296811739603679,0.003814053274142014,0.025847832361857098,0.0001021089247780049,5,2,4,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 100)])",-0.40993275668150914,-0.4068146978604026,-0.4178825616501744,-0.41154333873069543,0.004659748428124008,8,-0.38046726159809025,-0.38443923959638343,-0.3722705884633907,-0.3790590298859548,0.005066646163253654,8
7,0.1316253344217936,0.00990112577830203,0.025433063507080078,0.0011226209294304742,9,4,3,100,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 100)])",-0.40142982638301256,-0.38656610625501714,-0.4015162038479497,-0.39650404549532653,0.007027272705901975,5,-0.3728849957935197,-0.3544481398821932,-0.35026222684112424,-0.359198454172279,0.009827564403564505,5
8,0.1284024715423584,0.0017675096786862864,0.026526451110839844,0.0006244992586820938,5,3,3,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 100)])",-0.42465517493102933,-0.4171541585271593,-0.430657370401044,-0.4241555679530776,0.005523971281428412,10,-0.40121445777934867,-0.396863797471665,-0.3881218326762627,-0.3954000293090922,0.005444334728125534,10
9,0.22599411010742188,0.020120708279145423,0.036774396896362305,0.00011298978190803058,7,4,3,200,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 200)])",-0.40971530934838185,-0.4070851544959805,-0.40718409529090094,-0.4079948530450877,0.001217216699108573,7,-0.38188183092633765,-0.3790822912629906,-0.3601957105521445,-0.37371994424715754,0.009631131064060224,7
10,0.07152160008748372,0.0016256876065221123,0.019658803939819336,0.005685940708191843,7,3,4,50,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 50)])",-0.3879693004831548,-0.38214119670334085,-0.3910845808595847,-0.3870650260153601,0.003706688933659204,4,-0.34953165332001795,-0.3462681997019462,-0.32737656652777053,-0.3410588065165783,0.009766108085715718,4
11,0.06961663564046223,0.005913703953844992,0.01476613680521647,7.555181779032787e-05,7,5,2,50,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 50)])",-0.42681014725595,-0.4204143092563939,-0.43223984105110574,-0.42648809918781655,0.0048331209223838375,11,-0.4025405981517159,-0.39324229788869963,-0.39169919493991956,-0.3958273636601117,0.0047885926730151535,11
