,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0009622573852539062,9.252791302251304e-05,0.0009554227193196615,4.6136852841792846e-05,entropy,7,1,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 4)])",-1.0168709624235732,-1.027757969357344,-1.9575509863430733,-1.334059972707997,0.4408971269224945,11,-0.2010989600942553,-0.19775538354656183,-0.23463252481225358,-0.2111622894843569,0.016652003599020918,4
1,0.0009564558664957682,0.00010421143697528298,0.0009469985961914062,3.3580645368436704e-05,gini,7,2,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('min_samples_leaf', 2), ('min_samples_split', 3)])",-1.0265220237512067,-0.5854483813550434,-0.7042412498496837,-0.772070551651978,0.18634573627426104,8,-0.2365941439259482,-0.265014010481824,-0.19019208083121686,-0.23060007841299635,0.0308385787090377,5
2,0.0009103616078694662,4.103493975843375e-05,0.0009850660959879558,7.079180758456439e-05,entropy,5,2,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 3)])",-1.0797484089521365,-0.6024008739423663,-0.6850657359610849,-0.7890716729518625,0.20829161207623184,9,-0.36580464275070007,-0.3300759466912783,-0.30969546679589344,-0.3351920187459572,0.02319037949284664,11
3,0.0009206136067708334,4.801647322393879e-05,0.0009821256001790364,4.227044788890843e-05,entropy,7,2,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 2), ('min_samples_split', 4)])",-0.9397862229665205,-1.338421574978583,-1.0093035224947933,-1.0958371068132988,0.17386504705221079,10,-0.22803842341322003,-0.2261988894185349,-0.24569493877919027,-0.23331075053698172,0.008789086419844508,6
4,0.0009607474009195963,8.605564037909966e-05,0.0009629726409912109,3.479495696951015e-05,gini,9,2,2,"OrderedDict([('criterion', 'gini'), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 2)])",-1.3190753629703076,-1.8258458576716716,-1.6071835283163602,-1.5840349163194467,0.2075346995131241,14,-0.14008509376540942,-0.11942281704659605,-0.0884781766395018,-0.11599536248383575,0.02120737383388011,2
5,0.0009205341339111328,3.774149288815562e-05,0.0009674231211344401,4.408502152343678e-05,entropy,7,3,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 2)])",-1.3901282802057018,-1.2790241982685426,-1.942024233771104,-1.5370589040817828,0.2899238037181036,13,-0.23833765339332755,-0.28226000759206926,-0.26311846138169437,-0.26123870745569705,0.017980422792705363,7
6,0.0008893807729085287,4.904950042289622e-05,0.0009436607360839844,2.2754510642877232e-05,gini,5,5,2,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 2)])",-0.8076584514580671,-0.3712767887206201,-1.093350472223739,-0.7574285708008087,0.29691736424474785,7,-0.3765136943411686,-0.357951995109861,-0.3202979655649256,-0.3515878850053184,0.023387011545272784,12
7,0.000942389170328776,3.88509315292205e-05,0.0009491443634033203,2.5808742360117983e-05,entropy,9,1,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 9), ('min_samples_leaf', 1), ('min_samples_split', 4)])",-0.9471669368536707,-1.466327077239712,-2.9968406574615587,-1.8034448905183138,0.8700677771530044,15,-0.11492697144665497,-0.1294924228571059,-0.10192820397868242,-0.1154491994274811,0.0112591024551213,1
8,0.0009374618530273438,3.957221750660573e-05,0.0009644826253255209,2.9084026546065715e-05,entropy,9,2,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 5)])",-1.0078551346886158,-1.8983032417608707,-1.5090883597353804,-1.4717489120616223,0.36448148888667997,12,-0.16825374591374564,-0.10821088905067294,-0.11425103256475026,-0.1302385558430563,0.026993663954104016,3
9,0.0017053286234537761,0.0009144017452192233,0.0019362767537434895,0.0011396788868290712,entropy,5,2,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 3)])",-0.3373602571252978,-0.36768035091888385,-1.4324101574975407,-0.7124835885139075,0.5092154262970454,6,-0.3322063251773433,-0.37925401728406577,-0.27757850248400256,-0.3296796149818038,0.04154728852583643,10
10,0.001004616419474284,0.00011935707045150933,0.0010332266489664714,6.312896983627671e-05,entropy,5,4,4,"OrderedDict([('criterion', 'entropy'), ('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 4)])",-0.5740586801232662,-0.4721156715601008,-0.734076851224581,-0.5934170676359827,0.10781767105665283,3,-0.3162129773623812,-0.42390131518066704,-0.34869559367066716,-0.36293662873790505,0.04510210516414239,13
11,0.0040013790130615234,0.004236229288486438,0.001960198084513346,0.001311882877856988,gini,5,4,3,"OrderedDict([('criterion', 'gini'), ('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 3)])",-0.5917261753098458,-1.0253483940081098,-0.3829921351901034,-0.6666889015026863,0.26754432473811823,5,-0.32180536416969996,-0.328071849816371,-0.33195022859288587,-0.3272758141929856,0.004179698799074698,9
