,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0009352366129557291,9.953346695764155e-05,0.0051949818929036455,0.00028943461238798904,auto,5,distance,"OrderedDict([('algorithm', 'auto'), ('n_neighbors', 5), ('weights', 'distance')])",-0.7204036870728672,-0.11866744979618708,-1.5453124148381807,-0.794794517235745,0.584795953462493,6,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
1,0.001126686731974284,4.332152985501892e-05,0.016520182291666668,0.0007431869875671279,ball_tree,9,uniform,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 9), ('weights', 'uniform')])",-0.731682469872218,-0.4881605636559459,-1.2652679934637792,-0.8283703423306475,0.3245359742525085,9,-0.3932836437568874,-0.41479385448811007,-0.38613639025346735,-0.39807129616615494,0.012179320610059512,13
2,0.0010946591695149739,2.6624949965731537e-05,0.015058596928914389,0.0005509894916193043,ball_tree,5,uniform,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 5), ('weights', 'uniform')])",-1.0513320446989793,-0.39463602519656577,-1.8294866400435836,-1.0918182366463762,0.5864744498757057,14,-0.27400007394114195,-0.2807466808050344,-0.26728867734253026,-0.27401181069623554,0.005494213174650729,10
3,0.0010831356048583984,2.399001184158512e-05,0.014933506647745768,0.0005563409319871233,ball_tree,3,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 3), ('weights', 'distance')])",-1.104311117508346,-0.36113532245580643,-1.6717309970281435,-1.0457258123307653,0.5366497517245257,12,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
4,0.0011166731516520183,5.1139658258722385e-05,0.014463027318318685,0.0009178428362729384,kd_tree,7,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'uniform')])",-0.7058034697804767,-0.46378279887623886,-1.2261224923757998,-0.7985695870108384,0.3180614368857575,7,-0.35777564943460194,-0.36499043779466867,-0.3283317994089368,-0.3503659622127358,0.015856471667605794,11
5,0.0008384386698404948,2.752492903619748e-05,0.004825592041015625,0.00018544521387804994,brute,9,uniform,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 9), ('weights', 'uniform')])",-0.731682469872218,-0.4881605636559459,-1.2652679934637792,-0.8283703423306475,0.3245359742525085,9,-0.3932836437568874,-0.41479385448811007,-0.38613639025346735,-0.39807129616615494,0.012179320610059512,13
6,0.0011480649312337239,0.00014772339399206564,0.015310843785603842,0.0007480745118918788,kd_tree,7,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'uniform')])",-0.7058034697804767,-0.46378279887623886,-1.2261224923757998,-0.7985695870108384,0.3180614368857575,7,-0.35777564943460194,-0.36499043779466867,-0.3283317994089368,-0.3503659622127358,0.015856471667605794,11
7,0.0010814666748046875,6.406320973655893e-06,0.01437838872273763,6.697322694435067e-05,ball_tree,3,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 3), ('weights', 'distance')])",-1.104311117508346,-0.36113532245580643,-1.6717309970281435,-1.0457258123307653,0.5366497517245257,12,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
8,0.0008450349171956381,3.710063438512928e-05,0.005237976710001628,0.00024932202948720885,auto,9,uniform,"OrderedDict([('algorithm', 'auto'), ('n_neighbors', 9), ('weights', 'uniform')])",-0.731682469872218,-0.4881605636559459,-1.2652679934637792,-0.8283703423306475,0.3245359742525085,9,-0.3932836437568874,-0.41479385448811007,-0.38613639025346735,-0.39807129616615494,0.012179320610059512,13
9,0.0019502639770507812,0.0011441263372524218,0.019433975219726562,0.0030948791364333278,kd_tree,7,distance,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'distance')])",-0.336804995971698,-0.12656726930342155,-0.9131079266479283,-0.4588267306410159,0.33249413951002127,4,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
10,0.0019369125366210938,0.0011311810796377276,0.019681692123413086,0.004702186610100743,kd_tree,7,distance,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'distance')])",-0.336804995971698,-0.12656726930342155,-0.9131079266479283,-0.4588267306410159,0.33249413951002127,4,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
11,0.0022553602854410806,0.001568482238161645,0.01467148462931315,0.0014784692353017605,ball_tree,9,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 9), ('weights', 'distance')])",-0.3366708232497798,-0.12250260308549152,-0.9062034488353499,-0.45512562505687376,0.3307268852700359,2,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
