,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.10002477963765462,0.006368533313997867,0.02737315495808919,0.0005421263245527173,7,4,2,100,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 100)])",-0.2944642484042646,-0.28683082147015976,-0.31062067297670914,-0.2973052476170445,0.009917752301510645,9,-0.21750506901383648,-0.2340454339650147,-0.21988529745248866,-0.22381193347711328,0.00730113100973409,9
1,0.1840801239013672,0.004851776965636424,0.03744673728942871,0.000153275643566695,5,1,4,200,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 1), ('min_samples_split', 4), ('n_estimators', 200)])",-0.3241897693495307,-0.3130706879337179,-0.34161267177708604,-0.3262910430201115,0.01174656612824302,12,-0.2819278049326225,-0.28649999392140935,-0.26797056757478477,-0.2787994554762722,0.007881405878163768,12
2,0.11741995811462402,0.005176386943394046,0.027333656946818035,0.0014058884824329515,9,5,3,100,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 3), ('n_estimators', 100)])",-0.2941189539990152,-0.2846358305834214,-0.31368714000252945,-0.297480641528322,0.012096014550936786,10,-0.2293033232108924,-0.23790066464532464,-0.22289769800202303,-0.23003389528608,0.006146682232054849,10
3,0.20850292841593424,0.011160726064490221,0.0452723503112793,0.005498717549888977,7,2,3,200,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 200)])",-0.252226252336515,-0.23820886918164455,-0.26285518197949614,-0.2510967678325519,0.010093462738026873,5,-0.17518429164699564,-0.17825467739502127,-0.16128865766651804,-0.17157587556951162,0.00738137097916884,5
4,0.1054379145304362,0.008502653633470546,0.02703555425008138,0.0002072939823528379,5,4,4,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 100)])",-0.3403882384301652,-0.33034601126154295,-0.35825678309735154,-0.34299701092968654,0.011542878513996865,14,-0.29411039950274054,-0.29892047090036655,-0.2829602194281447,-0.2919970299437506,0.0066849161018813575,14
5,0.11090922355651855,0.0015545966519772926,0.026263713836669922,0.0008085845341746702,7,5,2,100,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 100)])",-0.303432239502525,-0.30055286373613466,-0.3231106395627711,-0.30903191426714355,0.010024323108098131,11,-0.2443743680447839,-0.25468023909762644,-0.2331721897998516,-0.244075598980754,0.008783165464458856,11
6,0.09704271952311198,0.0012585952820789417,0.026543458302815754,0.0008108085610436951,3,1,3,100,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 100)])",-0.39937194138769827,-0.41216709497428655,-0.427176991213827,-0.4129053425252706,0.011363360889081952,15,-0.39121238562502036,-0.3975921175943271,-0.39194512269422627,-0.3935832086378579,0.0028504665312998993,15
7,0.05592123667399088,0.001701198615035045,0.014734506607055664,0.00019202659224224242,5,3,4,50,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 50)])",-0.3280916823152299,-0.33311713101366874,-0.3506031807183586,-0.33727066468241906,0.00964816982788614,13,-0.28798709029264097,-0.3046109454475579,-0.27456445070867125,-0.2890541621496234,0.012289614674850707,13
8,0.05419603983561198,0.0006538349294071252,0.015077034632364908,0.0008433301666782491,9,4,4,50,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 50)])",-0.263209381661066,-0.2719532703168324,-0.29657713724888013,-0.2772465964089262,0.014127190191965651,7,-0.19235576400691679,-0.2109771310280351,-0.195478290979426,-0.19960372867145929,0.008142614426457665,7
9,0.07087087631225586,0.023701031377862964,0.014545122782389322,0.0006106667131325707,7,2,4,50,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 50)])",-0.2530856054750837,-0.23932431644604882,-0.2703470298863959,-0.25425231726917613,0.012691810997866012,6,-0.17272540575082848,-0.1771715740825511,-0.1670958554870229,-0.17233094510680083,0.0041228409059638465,6
10,0.21902894973754883,0.04446964128039508,0.041231632232666016,0.006028084964106705,7,3,3,200,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 200)])",-0.2772307730118031,-0.2659440062392446,-0.29824963221039885,-0.28047480382048223,0.013386714041983907,8,-0.20080936676879277,-0.20677439540725268,-0.19589163288692152,-0.201158465020989,0.004449721505199023,8
11,0.2636105219523112,0.024955639896402256,0.054977973302205406,0.006945977131715191,7,1,3,200,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 200)])",-0.22550358229275666,-0.21135686826682565,-0.24588356162660852,-0.22758133739539696,0.014171825059839195,1,-0.15771018564131029,-0.1648286184796925,-0.15356427129946706,-0.1587010251401566,0.004651716638942278,2
