model,output,metric,value
XGB_GBTREE,Dataset,predict_time,1637458.0
XGB_GBTREE,Dataset,logloss,0.5190860257320524
XGB_DART,Dataset,accuracy,0.6495726495726496
XGB_DART,Dataset,balanced_accuracy,0.5459770114942528
XGB_DART,Dataset,precision,0.3225806451612903
XGB_DART,Dataset,recall,0.3333333333333333
XGB_DART,Dataset,f1,0.3278688524590163
XGB_DART,Dataset,train_time,33277418515.0
XGB_DART,Dataset,predict_time,13125667.0
XGB_DART,Dataset,logloss,0.5190860294777989
XGB_GBLINEAR,Dataset,accuracy,0.717948717948718
XGB_GBLINEAR,Dataset,balanced_accuracy,0.5701149425287356
XGB_GBLINEAR,Dataset,precision,0.4210526315789473
XGB_GBLINEAR,Dataset,recall,0.2666666666666666
XGB_GBLINEAR,Dataset,f1,0.326530612244898
XGB_GBLINEAR,Dataset,train_time,7522121462.0
XGB_GBLINEAR,Dataset,predict_time,2084792.0
XGB_GBLINEAR,Dataset,logloss,0.4887924709809114
ExtraTree,Dataset,accuracy,
ExtraTree,Dataset,balanced_accuracy,
ExtraTree,Dataset,precision,
ExtraTree,Dataset,recall,
ExtraTree,Dataset,f1,
ExtraTree,Dataset,train_time,
ExtraTree,Dataset,predict_time,
ExtraTree,Dataset,logloss,
QDA,Dataset,accuracy,
QDA,Dataset,balanced_accuracy,
QDA,Dataset,precision,
QDA,Dataset,recall,
QDA,Dataset,f1,
QDA,Dataset,train_time,
QDA,Dataset,predict_time,
QDA,Dataset,logloss,
