model,output,metric,value
XGB,Risk,predict_time,3461750.0
XGB,Risk,logloss,0.6696064038439659
XGB,Risk,shscore,0.2763332893402777
XGB,Risk,roc_auc,0.5080168776371308
XGB,Risk,balanced_accuracy,0.5080168776371308
XGB,Risk,jaccard,0.0526315789473684
ExtraTree,Risk,accuracy,0.8404255319148937
ExtraTree,Risk,precision,0.0
ExtraTree,Risk,recall,0.0
ExtraTree,Risk,f1,0.0
ExtraTree,Risk,train_time,5565123128.0
ExtraTree,Risk,predict_time,407708.0
ExtraTree,Risk,logloss,1.5378163617861609
ExtraTree,Risk,shscore,0.1974387108736766
ExtraTree,Risk,roc_auc,0.5
ExtraTree,Risk,balanced_accuracy,0.5
ExtraTree,Risk,jaccard,0.0
SVC,Risk,accuracy,0.776595744680851
SVC,Risk,precision,0.0
SVC,Risk,recall,0.0
SVC,Risk,f1,0.0
SVC,Risk,train_time,19922144926.0
SVC,Risk,predict_time,1893541.0
SVC,Risk,logloss,0.4799669116887027
SVC,Risk,shscore,0.147748492099394
SVC,Risk,roc_auc,0.474025974025974
SVC,Risk,balanced_accuracy,0.474025974025974
SVC,Risk,jaccard,0.0
GradientBoosting,Risk,accuracy,0.8085106382978723
GradientBoosting,Risk,precision,0.3333333333333333
GradientBoosting,Risk,recall,0.0588235294117647
GradientBoosting,Risk,f1,0.1
GradientBoosting,Risk,train_time,21479778676.0
GradientBoosting,Risk,predict_time,1306834.0
GradientBoosting,Risk,logloss,1.765714298544449
GradientBoosting,Risk,shscore,0.3271567430888419
GradientBoosting,Risk,roc_auc,0.5164247517188694
GradientBoosting,Risk,balanced_accuracy,0.5164247517188694
GradientBoosting,Risk,jaccard,0.0526315789473684
GaussianNB,Risk,accuracy,0.1914893617021276
GaussianNB,Risk,precision,0.1827956989247312
GaussianNB,Risk,recall,1.0
GaussianNB,Risk,f1,0.3090909090909091
GaussianNB,Risk,train_time,11463613714.0
GaussianNB,Risk,predict_time,631750.0
GaussianNB,Risk,logloss,6.784153369454828
GaussianNB,Risk,shscore,-0.2851260749488874
GaussianNB,Risk,roc_auc,0.5064935064935066
GaussianNB,Risk,balanced_accuracy,0.5064935064935064
GaussianNB,Risk,jaccard,0.1827956989247312
DecisionTree,Risk,accuracy,0.7978723404255319
DecisionTree,Risk,precision,0.25
DecisionTree,Risk,recall,0.0588235294117647
DecisionTree,Risk,f1,0.0952380952380952
DecisionTree,Risk,train_time,17309550258.0
DecisionTree,Risk,predict_time,523291.0
DecisionTree,Risk,logloss,4.134111456257352
DecisionTree,Risk,shscore,0.2357785001316262
DecisionTree,Risk,roc_auc,0.5099312452253629
DecisionTree,Risk,balanced_accuracy,0.5099312452253628
DecisionTree,Risk,jaccard,0.05
KNeighbors,Risk,accuracy,0.7553191489361702
KNeighbors,Risk,precision,0.125
KNeighbors,Risk,recall,0.0588235294117647
KNeighbors,Risk,f1,0.0799999999999999
KNeighbors,Risk,train_time,24977315387.0
KNeighbors,Risk,predict_time,75735875.0
KNeighbors,Risk,logloss,2.969188462000938
KNeighbors,Risk,shscore,0.1533154550297213
KNeighbors,Risk,roc_auc,0.4839572192513369
KNeighbors,Risk,balanced_accuracy,0.4839572192513369
KNeighbors,Risk,jaccard,0.0416666666666666
AdaBoost,Risk,accuracy,0.8191489361702128
AdaBoost,Risk,precision,0.0
AdaBoost,Risk,recall,0.0
AdaBoost,Risk,f1,0.0
AdaBoost,Risk,train_time,25850576553.0
AdaBoost,Risk,predict_time,10619584.0
AdaBoost,Risk,logloss,0.4821296181389311
AdaBoost,Risk,shscore,0.1696421450297994
AdaBoost,Risk,roc_auc,0.5
AdaBoost,Risk,balanced_accuracy,0.5
AdaBoost,Risk,jaccard,0.0
RandomForest,Risk,accuracy,0.8191489361702128
RandomForest,Risk,precision,0.0
RandomForest,Risk,recall,0.0
RandomForest,Risk,f1,0.0
RandomForest,Risk,train_time,36876471766.0
RandomForest,Risk,predict_time,79249916.0
RandomForest,Risk,logloss,0.4719522875392318
